iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,16,1.125,92,0,8,0
1,10,1.8,85,0,15,0
2,13,1.3846153846153846,85,0,15,0
3,16,1.125,92,0,8,0
4,17,1.0588235294117647,96,0,4,0
5,14,1.2857142857142858,91,0,9,0
6,14,1.2857142857142858,91,0,9,0
7,16,1.125,95,0,5,0
8,14,1.2857142857142858,90,0,10,0
9,10,1.8,85,0,15,0
10,15,1.2,92,0,8,0
11,17,1.0588235294117647,96,0,4,0
12,15,1.2,91,0,9,0
13,12,1.5,85,0,15,0
14,15,1.2,93,0,7,0
15,17,1.0588235294117647,97,0,3,0
16,10,1.8,89,0,11,0
17,10,1.8,88,0,12,0
18,9,2.0,90,0,10,0
19,12,1.5,86,0,14,0
20,16,1.125,93,0,7,0
21,15,1.2,93,0,7,0
22,16,1.125,90,0,10,0
23,14,1.2857142857142858,94,0,6,0
24,15,1.2,92,0,8,0
25,15,1.2,92,0,8,0
26,12,1.5,89,0,11,0
27,14,1.2857142857142858,88,0,12,0
28,13,1.3846153846153846,90,0,10,0
29,17,1.0588235294117647,94,0,6,0
30,18,1.0,94,0,6,0
31,15,1.2,95,0,5,0
32,14,1.2857142857142858,86,0,14,0
33,15,1.2,90,0,10,0
34,12,1.5,87,0,13,0
35,17,1.0588235294117647,95,0,5,0
36,13,1.3846153846153846,86,0,14,0
37,13,1.3846153846153846,87,0,13,0
38,14,1.2857142857142858,90,0,10,0
39,14,1.2857142857142858,92,0,8,0
40,16,1.125,92,0,8,0
41,11,1.6363636363636365,86,86,14,14
42,7,2.5714285714285716,87,0,13,0
43,10,1.8,89,0,11,0
44,5,3.6,90,0,10,0
45,10,1.8,90,0,10,0
46,10,1.8,89,0,11,0
47,8,2.25,88,0,12,0
48,9,2.0,85,0,15,0
49,11,1.6363636363636365,90,0,10,0
50,6,3.0,89,0,11,0
51,10,1.8,90,0,10,0
52,10,1.8,88,0,12,0
53,11,1.6363636363636365,88,0,12,0
54,5,3.6,91,0,9,0
55,6,3.0,87,0,13,0
56,7,2.5714285714285716,95,0,5,0
57,6,3.0,92,0,8,0
58,7,2.5714285714285716,91,0,9,0
59,8,2.25,89,0,11,0
60,7,2.5714285714285716,91,0,9,0
61,10,1.8,89,0,11,0
62,11,1.6363636363636365,89,0,11,0
63,9,2.0,96,0,4,0
64,11,1.6363636363636365,87,0,13,0
65,10,1.8,93,0,7,0
66,10,1.8,95,0,5,0
67,8,2.25,90,0,10,0
68,7,2.5714285714285716,91,0,9,0
69,9,2.0,93,0,7,0
70,10,1.8,85,0,15,0
71,10,1.8,92,0,8,0
72,10,1.8,93,0,7,0
73,15,1.2,89,0,11,0
74,9,2.0,88,0,12,0
75,8,2.25,91,0,9,0
76,3,6.0,89,0,11,0
77,7,2.5714285714285716,87,0,13,0
78,12,1.5,88,0,12,0
79,6,3.0,89,0,11,0
80,11,1.6363636363636365,85,0,15,0
81,8,2.25,83,0,17,0
82,10,1.8,92,0,8,0
83,10,1.8,87,0,13,0
84,8,2.25,93,0,7,0
85,5,3.6,90,0,10,0
86,12,1.5,90,0,10,0
87,10,1.8,93,0,7,0
88,8,2.25,87,0,13,0
89,8,2.25,97,0,3,0
90,11,1.6363636363636365,94,0,6,0
91,7,2.5714285714285716,89,0,11,0
92,5,3.6,89,0,11,0
93,7,2.5714285714285716,85,0,15,0
94,5,3.6,84,0,16,0
95,10,1.8,92,0,8,0
96,9,2.0,92,0,8,0
97,7,2.5714285714285716,88,0,12,0
98,11,1.6363636363636365,91,0,9,0
99,10,1.8,90,0,10,0
100,9,2.0,91,0,9,0
101,7,2.5714285714285716,93,0,7,0
102,11,1.6363636363636365,93,0,7,0
103,3,6.0,76,0,24,0
104,10,1.8,90,0,10,0
105,10,1.8,89,0,11,0
106,12,1.5,92,0,8,0
107,6,3.0,95,0,5,0
108,11,1.6363636363636365,90,0,10,0
109,10,1.8,86,0,14,0
110,13,1.3846153846153846,91,0,9,0
111,13,1.3846153846153846,88,0,12,0
112,7,2.5714285714285716,92,0,8,0
113,3,6.0,91,0,9,0
114,2,9.0,87,0,13,0
115,7,2.5714285714285716,91,0,9,0
116,12,1.5,87,0,13,0
117,12,1.5,87,0,13,0
118,8,2.25,88,0,12,0
119,7,2.5714285714285716,91,0,9,0
120,11,1.6363636363636365,89,0,11,0
121,7,2.5714285714285716,91,0,9,0
122,9,2.0,92,0,8,0
123,9,2.0,91,0,9,0
