iteration,temperature,dsp,bram,lut,ff,violation
0,20.0,1449,1901,174032,206171,True
1,19.9,863,1337,274924,331844,True
2,19.8005,57,505,58274,68433,True
3,19.7014975,50,580,124451,147830,True
5,19.5049750624375,164,642,203234,243731,True
7,19.31041293618968,878,1296,174620,201811,True
8,19.213860871508732,252,902,285496,333571,True
9,19.117791567151187,1906,2296,226811,266795,True
10,19.022202609315432,1729,2421,319459,386250,True
12,18.83245613828751,1234,1972,532592,639976,True
13,18.738293857596073,200,910,559843,671219,True
14,18.644602388308094,353,845,97005,115428,True
15,18.551379376366555,28528,29958,2552325,2924130,True
16,18.45862247948472,744,2690,1851927,2234736,True
18,18.27449772025186,51368,53803,4571761,5233671,True
19,18.1831252316506,548,1160,189140,223991,True
20,18.092209605492346,2992,4411,701805,822765,True
21,18.001748557464886,1748,2194,203234,243731,True
22,17.91173981467756,568,1148,188380,226106,True
24,17.73307021002615,3307,4190,473032,554118,True
25,17.644404858976017,1564,2602,659212,797090,True
26,17.556182834681138,5540,7402,1199464,1451716,True
27,17.468401920507734,420,1166,195187,226365,True
29,17.29415461135067,5708,7682,3127132,3702619,True
30,17.207683838293917,6568,7723,876295,996834,True
31,17.121645419102446,355,1162,190000,214653,True
32,17.036037192006933,1694,2752,498884,593022,True
33,16.9508570060469,2524,3499,330654,371862,True
34,16.866102721016663,974,1566,213524,253936,True
36,16.69786334637452,1156,1626,422690,500883,True
37,16.614374029642647,3338,5157,596364,700714,True
38,16.531302159494434,52933,54763,4408642,5055350,True
39,16.44864564869696,2320,3270,938761,1105283,True
40,16.366402420453475,884,1330,203234,243731,True
41,16.284570408351208,744,2626,1798551,2177168,True
42,16.203147556309453,1274,1740,319305,379604,True
43,16.122131818527905,440,858,385362,456875,True
45,15.96131355363809,13212,14654,1564077,1854845,True
46,15.8815069858699,906,1666,147397,168499,True
47,15.802099450940549,6799,8698,853685,994989,True
48,15.723088953685846,2616,4654,1844229,2224152,True
49,15.644473508917416,373,2228,704449,849349,True
50,15.56625114137283,1276,3134,723126,872017,True
51,15.488419885665966,67,554,69995,80141,True
53,15.333922897306447,307,735,153035,181197,True
54,15.257253282819915,680,1418,662277,771398,True
55,15.180967016405816,25756,27750,2825631,3359579,True
56,15.105062181323786,190,1259,266522,313263,True
57,15.029536870417168,239,795,175497,208869,True
58,14.954389186065082,1720,2846,1027455,1236114,True
59,14.879617240134756,6504,7667,876295,996834,True
60,14.805219153934082,257,946,515815,617195,True
61,14.731193058164411,1297,1933,197935,223642,True
62,14.65753709287359,1472,2707,786072,896609,True
63,14.58424940740922,366,720,140519,169149,True
65,14.438771519570315,1512,2018,164878,196039,True
66,14.366577661972464,1168,2259,613632,696454,True
67,14.294744773662602,511,1663,324140,361272,True
68,14.223271049794288,2756,3947,516680,592209,True
69,14.152154694545317,364,1042,830480,985123,True
71,14.010986951467228,440,1593,771495,882242,True
72,13.940932016709892,1009,2227,486773,552257,True
73,13.871227356626342,1613,2011,254944,308905,True
75,13.732861863743995,667,1085,216756,253321,True
76,13.664197554425275,2636,5063,4559533,5218571,True
77,13.595876566653148,20616,21882,1710327,2031021,True
79,13.460257697900781,334,850,117363,140036,True
80,13.392956409411276,5189,5707,423998,485666,True
83,13.193064860881261,8696,9342,502918,591874,True
84,13.127099536576855,643,1078,108673,123834,True
85,13.061464038893972,694,2406,712836,861812,True
86,12.9961567186995,328,1468,358239,421810,True
89,12.80218745515332,870,1334,265195,314823,True
90,12.738176517877553,313,940,184355,216322,True
91,12.674485635288166,969,2136,273532,307708,True
92,12.611113207111725,1142,1848,244576,294008,True
93,12.548057641076166,386,1407,327150,370354,True
94,12.485317352870785,1766,2356,303540,367195,True
95,12.42289076610643,5224,6114,540067,638142,True
97,12.29897243071452,326,728,136234,163263,True
98,12.237477568560946,100,726,115974,131321,True
99,12.17629018071814,1606,2328,345888,416378,True
100,12.11540872981455,384,1349,231031,263833,True
101,12.054831686165478,464,2295,549375,646760,True
104,11.874911816395498,5470,6268,1125792,1319802,True
105,11.81553725731352,430,844,268250,323471,True
106,11.756459571026953,609,1737,1671202,1987507,True
107,11.697677273171818,4718,5440,345888,416378,True
108,11.63918888680596,472,1252,236648,270190,True
110,11.52308797766007,452,1006,297278,349983,True
111,11.46547253777177,846,1424,241800,290847,True
112,11.408145175082911,2720,5363,4939969,5652650,True
114,11.29434892696146,712,1082,124127,147091,True
115,11.237877182326653,1684,2729,275479,315613,True
116,11.18168779641502,212,826,245684,295303,True
119,11.014799708342553,326,968,246818,281923,True
121,10.904927081251834,416,1462,736129,876862,True
122,10.850402445845575,1544,2302,1259491,1446387,True
123,10.796150433616347,386,1585,544330,623999,True
124,10.742169681448265,5512,7451,629271,737456,True
125,10.688458833041024,912,1430,194343,232390,True
126,10.635016538875819,15880,17916,1106863,1309739,True
128,10.528932248900533,9032,10282,1165047,1401773,True
129,10.47628758765603,1744,2582,575116,671986,True
130,10.42390614971775,394,748,81599,96839,True
131,10.37178661896916,3971,4671,279585,334400,True
133,10.268328047444944,499,1274,721335,822355,True
134,10.21698640720772,6032,7267,717720,821985,True
135,10.165901475171681,2008,2726,311515,363891,True
136,10.115071967795823,659,1311,262953,305765,True
137,10.064496607956844,268,948,206024,234299,True
138,10.01417412491706,7986,8720,434704,519176,True
139,9.964103254292475,12832,15475,4939969,5652650,True
140,9.914282738021013,643,1178,102322,117117,True
142,9.815387767709254,890,1572,519811,622311,True
144,9.717479274726355,3136,4497,1392661,1596626,True
145,9.668891878352722,3914,4362,169291,204231,True
146,9.620547418960959,777,1363,462856,532012,True
147,9.572444681866154,691,1769,607181,738015,True
148,9.524582458456823,6624,9237,1608801,1915402,True
149,9.476959546164538,828,1286,201746,237027,True
151,9.382426874691546,26560,28307,2630641,3011953,True
152,9.33551474031809,362,882,113211,131628,True
153,9.2888371666165,1644,2258,284470,335570,True
154,9.242392980783416,51424,53969,4575177,5240911,True
155,9.1961810158795,694,1462,276380,316100,True
156,9.150200110800101,921,1912,207763,234745,True
157,9.104449110246101,1748,2510,447660,541634,True
158,9.05892686469487,116,878,447660,541634,True
160,8.96856406921954,899,1903,322661,382196,True
162,8.879102642629075,166,1288,611420,732249,True
163,8.83470712941593,684,1102,147552,171323,True
164,8.790533593768851,1224,1826,386324,455706,True
165,8.746580925800007,748,1827,580644,656418,True
166,8.702848021171008,162,1282,604332,724455,True
167,8.659333781065152,377,1359,960010,1161464,True
168,8.616037112159827,330,2150,813964,975850,True
169,8.572956926599028,321,1335,251563,283289,True
170,8.530092141966033,547,1247,279585,334400,True
171,8.487441681256204,2992,5142,2975421,3525632,True
172,8.445004472849924,866,1698,555835,631969,True
173,8.402779450485674,210,676,103223,122200,True
174,8.360765553233247,26,556,124451,147830,True
175,8.31896172546708,6764,8630,1213636,1467296,True
176,8.277366916839744,6736,7814,1104673,1302078,True
177,8.235980082255546,1008,2338,1588293,1883218,True
178,8.194800181844268,6464,8931,3053737,3613455,True
180,8.113057050030372,184,830,502918,591874,True
181,8.07249176478022,2288,2970,359805,431774,True
182,8.03212930595632,6032,7018,455593,527939,True
183,7.991968659426537,202,618,140508,162451,True
184,7.952008816129404,3237,4211,627850,762488,True
185,7.912248772048757,5524,7706,2841189,3377435,True
186,7.872687528188513,122,642,113211,131628,True
187,7.8333240905475705,6892,8854,1473628,1764443,True
188,7.794157470094833,7068,7566,622150,715703,True
189,7.755186682744358,1764,2382,343572,416103,True
190,7.716410749330636,2216,2818,300589,351933,True
191,7.677828695583983,11616,14257,4835169,5538058,True
193,7.601242354345533,3226,5088,771484,933373,True
195,7.525419961860937,1351,1821,182597,218797,True
196,7.4877928620516325,5514,7333,596364,700714,True
197,7.450353897741374,720,1570,582547,680619,True
198,7.4131021282526675,5592,6906,2387469,2740042,True
199,7.376036617611404,5512,6786,980343,1160717,True
200,7.339156434523347,424,1162,474331,558787,True
201,7.302460652350731,336,942,310584,376067,True
202,7.265948349088977,1708,2330,357744,431683,True
203,7.229618607343532,2644,3793,314479,349248,True
204,7.1934705143068145,3196,4282,1505667,1785998,True
205,7.1575031617352805,18584,20534,1880247,2265872,True
206,7.121715645926604,275,1132,232992,263126,True
207,7.086107067696971,754,2543,854635,1008582,True
208,7.050676532358486,60,1062,187710,210237,True
209,7.0154231496966935,2196,2570,146246,170774,True
210,6.9803460339482095,396,1018,357744,431683,True
211,6.945444303778468,910,1480,653133,747359,True
212,6.910717082259576,844,2067,623496,707409,True
213,6.876163496848278,497,1240,163264,185805,True
214,6.841782679364036,30809,32623,2835778,3370870,True
215,6.807573765967216,1894,2702,364654,421132,True
216,6.77353589713738,848,2182,1644933,1945474,True
217,6.739668217651693,398,944,304357,358448,True
218,6.705969876563435,2054,2664,246818,281923,True
219,6.672440027180618,804,1394,152335,175374,True
220,6.639077827044715,888,1444,133773,156547,True
221,6.605882437909491,26251,28165,3099317,3671917,True
222,6.572853025719944,1076,1914,435164,499762,True
223,6.539988760591344,222,572,69477,81871,True
224,6.507288816788387,468,1477,259300,298050,True
225,6.474752372704445,1014,1522,117363,140036,True
226,6.4423786108409224,8544,9274,709821,819550,True
227,6.410166717786717,706,1238,131839,150643,True
228,6.378115884197784,11262,13148,4337268,4976181,True
229,6.3462253047767945,5248,6995,2630641,3011953,True
230,6.31449417825291,7036,8262,1003239,1207741,True
231,6.282921707361646,712,1442,558581,642326,True
232,6.251507098824837,10348,12282,1956700,2365051,True
233,6.2202495633307135,306,970,335092,386955,True
234,6.18914831551406,883,2031,396483,446617,True
235,6.15820257393649,1740,2765,334194,379226,True
236,6.127411561066807,448,1659,765990,870265,True
238,6.066290630745165,2208,4755,4679977,5355503,True
239,6.035959177591439,5144,6125,2284745,2622348,True
241,5.975750484794965,203,903,279585,334400,True
242,5.94587173237099,3108,4294,1688392,2006529,True
243,5.916142373709135,5419,5833,220059,252548,True
247,5.798703993217412,249,1084,509464,610478,True
248,5.769710473251325,84,746,285496,333571,True
249,5.740861920885068,2792,4738,1851927,2234736,True
250,5.712157611280643,380,1046,342136,395827,True
251,5.68359682322424,87,489,258491,312805,True
252,5.655178839108119,184,550,109955,131511,True
253,5.626902944912579,2744,3998,1193367,1432909,True
254,5.598768430188016,107,409,68043,82172,True
258,5.487630080963799,264,2268,959407,1151819,True
260,5.432890970906184,10281,12147,4331050,4969409,True
261,5.405726516051653,492,1090,216278,256882,True
262,5.378697883471395,2428,4388,1099100,1300827,True
263,5.351804394054039,768,1746,577972,702146,True
264,5.3250453720837685,3247,4225,631397,766388,True
265,5.29842014522335,409,2208,590146,693942,True
266,5.271928044497233,1096,1838,530971,621043,True
