iteration,temperature,dsp,bram,lut,ff,violation
0,10.0,3527,6347,7246040,8583539,True
1,9.95,5189,7639,10859610,12840198,True
2,9.90025,1745,4832,2109601,2559065,True
3,9.85074875,1055,3252,3400779,4209043,True
4,9.801495006249999,2676,5129,3578400,4344441,True
5,9.75248753121875,12878,15784,11018197,13129148,True
6,9.703725093562655,3000,5645,7552901,9044988,True
7,9.65520646809484,7585,10001,6157029,7241930,True
8,9.606930435754366,1770,3616,1562444,1827167,True
9,9.558895783575593,2967,5704,5543671,6734296,True
10,9.511101304657716,3276,5728,4473190,5370694,True
11,9.463545798134428,2330,5466,4297683,5111372,True
12,9.416228069143756,2931,5379,7219407,8677411,True
13,9.369146928798036,3326,6716,5901521,7221237,True
14,9.322301194154047,1467,3853,3940177,4735045,True
15,9.275689688183277,2593,4771,1737503,2154051,True
16,9.22931123974236,17355,21153,12124956,14497883,True
17,9.183164683543648,2060,4856,6535657,8009739,True
18,9.13724886012593,1993,4581,2704417,3244240,True
19,9.0915626158253,20102,22442,7820090,9088019,True
20,9.046104802746173,1102,4209,2921074,3577062,True
21,9.000874278732443,6176,9049,12313464,14322712,True
22,8.95586990733878,1386,3592,2469157,2996022,True
23,8.911090557802085,3731,6622,6138611,7177734,True
24,8.866535105013075,24778,28418,16284285,19132084,True
25,8.822202429488009,1130,3461,2762168,3428673,True
26,8.778091417340569,1237,3776,1748919,2146596,True
27,8.734200960253867,3155,6174,4155893,4995989,True
28,8.690529955452599,4009,6379,3124786,3827367,True
29,8.647077305675335,1373,3466,2297600,2729956,True
30,8.603841919146959,6061,9520,8759526,10419138,True
31,8.560822709551223,13893,17023,12721415,15018131,True
32,8.518018596003467,41379,44989,15821969,18414811,True
33,8.47542850302345,2589,5303,3100124,3793920,True
34,8.433051360508331,3587,5819,4600348,5502193,True
35,8.390886103705789,6756,9909,3923382,4801768,True
36,8.34893167318726,21782,25039,10881162,12647384,True
37,8.307187014821324,915,3003,2565937,3158332,True
38,8.265651079747217,2244,5142,2533240,3101583,True
39,8.22432282434848,2870,6203,7458388,9027661,True
40,8.183201210226738,12431,15228,4677002,5594190,True
41,8.142285204175604,739,2532,2068952,2509549,True
42,8.101573778154727,1845,4716,4937325,5996966,True
43,8.061065909263952,2270,5353,3386340,4075738,True
44,8.020760579717633,3223,6066,7559633,9081927,True
45,7.980656776819045,1789,4242,2172082,2676396,True
46,7.94075349293495,1031,3356,3300094,4070201,True
47,7.9010497254702745,3400,5952,3027009,3678445,True
48,7.861544476842923,2159,5448,5065934,6241522,True
49,7.822236754458708,2034,4702,2064274,2555923,True
50,7.783125570686415,6061,9128,10576307,12351887,True
51,7.744209942832983,723,3037,1489747,1807929,True
52,7.705488893118818,14324,17030,10550483,12320528,True
53,7.666961448653224,3835,5696,2025618,2475845,True
54,7.628626641409958,10988,14709,12312130,14286725,True
55,7.590483508202908,4741,7722,6545702,7739442,True
56,7.552531090661893,19123,21793,6672287,8030976,True
57,7.514768435208584,1920,5187,5163476,6340108,True
58,7.477194593032541,11716,14537,4508142,5367875,True
59,7.439808620067378,1049,3423,2002646,2487920,True
60,7.402609576967041,1762,4045,1514373,1866473,True
61,7.365596529082206,9214,12566,12158804,14269636,True
62,7.328768546436795,7075,9562,5784721,6963077,True
63,7.29212470370461,654,2554,1758013,2153321,True
64,7.255664080186087,3127,6237,3280021,3979238,True
65,7.219385759785157,12950,15950,6397916,7572645,True
66,7.183288830986232,3758,6020,5746201,6728944,True
67,7.147372386831301,2735,6168,4376904,5394952,True
68,7.111635524897144,3286,5998,3785840,4619975,True
69,7.076077347272658,16616,19509,8469174,10392703,True
70,7.0406969605362955,4241,6934,5458644,6427231,True
71,7.005493475733614,9829,13054,4271832,5056104,True
72,6.970466008354946,826,3444,2543690,3176854,True
73,6.935613678313171,1477,4263,2580547,3122516,True
74,6.900935609921605,8066,10697,8657493,10373790,True
75,6.866430931871998,10963,13549,4181041,5058214,True
76,6.832098777212638,4902,7835,9220415,11172700,True
77,6.797938283326574,4367,6740,9836052,11924217,True
78,6.763948591909941,1177,3078,2691888,3198716,True
79,6.7301288489503905,1315,4534,2030888,2481878,True
80,6.696478204705638,19121,22295,22653565,26395197,True
81,6.66299581368211,1130,4553,4244300,5274049,True
82,6.6296808346136995,3813,6117,3020508,3673510,True
83,6.5965324304406305,1083,3518,2860208,3464051,True
84,6.563549768288428,3248,5906,5555811,6774553,True
85,6.530732019446986,2110,5096,2257982,2769426,True
86,6.49807835934975,16097,18627,8066297,9667032,True
87,6.4655879675530015,7993,11216,4633391,5730285,True
88,6.433260027715236,2450,4685,5494000,6415114,True
89,6.40109372757666,2316,6044,6239018,7556866,True
90,6.369088258938777,2777,5319,6626833,7968925,True
91,6.337242817644083,2035,4500,2267994,2748833,True
92,6.305556603555862,4988,7721,10619526,12387560,True
93,6.274028820538083,1299,3395,1551498,1923986,True
94,6.242658676435393,1760,3887,3342487,4051071,True
95,6.211445383053215,3716,5986,5160942,6288606,True
96,6.1803881561379495,8618,12806,14584589,17608352,True
97,6.14948621535726,1199,3325,1472129,1797437,True
98,6.118738784280473,6531,8883,3736252,4544992,True
99,6.08814509035907,12299,15651,10954367,13317178,True
100,6.057704364907275,9537,12483,7593420,9024641,True
101,6.027415843082739,1513,3885,3808317,4517018,True
102,5.9972787638673255,2167,5002,4727129,5790774,True
103,5.967292370047989,38871,41498,13385800,15619475,True
104,5.937455908197749,18423,22140,11626060,13617183,True
105,5.90776862865676,2675,5840,7061061,8512833,True
106,5.878229785513477,1777,4451,2007988,2474316,True
107,5.848838636585909,506,2849,1353797,1666870,True
108,5.81959444340298,40165,42779,11575917,13582696,True
109,5.790496471185965,7934,11539,7257678,8894346,True
110,5.761543988830035,4072,6452,3820728,4512256,True
111,5.732736268885885,399,2099,859611,1063398,True
112,5.7040725875414555,870,2614,686217,822214,True
113,5.675552224603749,24298,26487,6803610,7960482,True
114,5.64717446348073,6181,9547,7196864,8551357,True
115,5.618938591163326,1812,3511,1924699,2342763,True
116,5.59084389820751,1959,4234,2036117,2406335,True
117,5.5628896787164726,981,3951,1769822,2174868,True
118,5.5350752303228905,1768,4753,2884797,3542110,True
119,5.507399854171276,5006,7228,2612823,3153220,True
120,5.47986285490042,1609,4421,3339643,4056139,True
121,5.452463540625917,2376,5237,5403583,6592618,True
122,5.425201222922787,5088,7368,2698133,3319069,True
123,5.398075216808174,16081,19029,8043204,9592261,True
124,5.371084840724133,490,2256,1078410,1338392,True
125,5.344229416520512,731,2846,2212947,2720390,True
126,5.317508269437909,981,3664,3103803,3850233,True
127,5.29092072809072,3663,7114,8537352,10599214,True
128,5.264466124450267,9538,12493,9501304,11274027,True
129,5.238143793828015,1372,3841,2639060,3239574,True
130,5.211953074858875,2441,4842,4991099,6125479,True
131,5.18589330948458,1323,3809,1909260,2320038,True
132,5.159963842937158,10703,13146,4331403,5252033,True
133,5.134164023722472,4784,7780,9026145,10660273,True
134,5.10849320360386,8605,11843,17890363,20673454,True
135,5.082950737585841,8014,10964,5218523,6361070,True
136,5.057535983897911,4328,6763,4615701,5572064,True
137,5.032248303978422,2405,5139,3799225,4498678,True
138,5.00708706245853,19416,23324,8738103,10635970,True
139,4.982051627146237,1875,4409,4270164,5099281,True
140,4.957141369010507,11707,15085,7742550,9346102,True
141,4.932355662165454,1559,3972,1818634,2226263,True
142,4.907693883854627,954,3139,1524860,1879435,True
143,4.883155414435354,8208,11670,6108598,7594800,True
144,4.858739637363177,4415,7059,7598104,9289194,True
145,4.834445939176361,2340,5309,2968492,3639652,True
146,4.810273709480479,1919,4186,3972205,4725074,True
147,4.786222340933077,388,2534,1140166,1409874,True
148,4.762291229228412,5332,7902,4972256,5959106,True
149,4.738479773082269,18476,21583,8942702,10452109,True
150,4.714787374216858,1914,3778,2148406,2600020,True
151,4.691213437345773,5478,7426,2937206,3555027,True
152,4.667757370159045,8826,12135,12327328,15001422,True
153,4.64441858330825,1408,3862,3470456,4285416,True
