iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,17,1.2352941176470589,93,0,7,0
1,17,1.2352941176470589,90,0,10,0
2,17,1.2352941176470589,94,0,6,0
3,17,1.2352941176470589,91,0,9,0
4,20,1.05,92,0,8,0
5,19,1.105263157894737,93,0,7,0
6,17,1.2352941176470589,87,0,13,0
7,14,1.5,86,0,14,0
8,19,1.105263157894737,93,0,7,0
9,17,1.2352941176470589,87,0,13,0
10,15,1.4,85,0,15,0
11,15,1.4,91,0,9,0
12,16,1.3125,93,0,7,0
13,20,1.05,94,0,6,0
14,15,1.4,89,0,11,0
15,15,1.4,86,0,14,0
16,12,1.75,88,0,12,0
17,18,1.1666666666666667,93,0,7,0
18,16,1.3125,87,0,13,0
19,15,1.4,86,0,14,0
20,19,1.105263157894737,94,0,6,0
21,17,1.2352941176470589,94,0,6,0
22,16,1.3125,89,0,11,0
23,16,1.3125,92,0,8,0
24,11,1.9090909090909092,85,0,15,0
25,18,1.1666666666666667,89,0,11,0
26,13,1.6153846153846154,88,0,12,0
27,17,1.2352941176470589,91,0,9,0
28,19,1.105263157894737,90,0,10,0
29,16,1.3125,90,0,10,0
30,19,1.105263157894737,90,0,10,0
31,13,1.6153846153846154,87,0,13,0
32,20,1.05,94,0,6,0
33,17,1.2352941176470589,90,0,10,0
34,20,1.05,94,0,6,0
35,18,1.1666666666666667,90,0,10,0
36,20,1.05,92,0,8,0
37,17,1.2352941176470589,81,0,19,0
38,17,1.2352941176470589,93,0,7,0
39,18,1.1666666666666667,93,0,7,0
40,15,1.4,88,0,12,0
41,12,1.75,85,0,15,0
42,16,1.3125,91,0,9,0
43,14,1.5,84,0,16,0
44,14,1.5,90,0,10,0
45,20,1.05,94,0,6,0
46,16,1.3125,90,0,10,0
47,14,1.5,88,0,12,0
48,18,1.1666666666666667,90,0,10,0
49,18,1.1666666666666667,92,0,8,0
50,17,1.2352941176470589,88,0,12,0
51,18,1.1666666666666667,90,0,10,0
52,16,1.3125,85,0,15,0
53,20,1.05,91,0,9,0
54,18,1.1666666666666667,92,0,8,0
55,19,1.105263157894737,90,0,10,0
56,17,1.2352941176470589,91,0,9,0
57,17,1.2352941176470589,90,0,10,0
58,18,1.1666666666666667,96,0,4,0
59,18,1.1666666666666667,94,0,6,0
60,16,1.3125,93,0,7,0
61,20,1.05,92,0,8,0
62,18,1.1666666666666667,94,0,6,0
63,15,1.4,88,0,12,0
64,20,1.05,89,0,11,0
65,16,1.3125,91,0,9,0
66,17,1.2352941176470589,91,0,9,0
67,17,1.2352941176470589,87,0,13,0
68,19,1.105263157894737,91,0,9,0
69,15,1.4,87,0,13,0
70,17,1.2352941176470589,87,0,13,0
71,13,1.6153846153846154,88,0,12,0
72,18,1.1666666666666667,91,0,9,0
73,16,1.3125,94,0,6,0
74,17,1.2352941176470589,89,0,11,0
75,17,1.2352941176470589,93,0,7,0
76,14,1.5,86,0,14,0
77,17,1.2352941176470589,90,0,10,0
78,18,1.1666666666666667,94,0,6,0
79,12,1.75,83,0,17,0
80,15,1.4,88,0,12,0
81,16,1.3125,91,0,9,0
82,20,1.05,96,0,4,0
83,16,1.3125,89,0,11,0
84,18,1.1666666666666667,88,0,12,0
85,17,1.2352941176470589,92,0,8,0
86,15,1.4,90,0,10,0
87,19,1.105263157894737,88,0,12,0
88,19,1.105263157894737,88,0,12,0
89,18,1.1666666666666667,94,0,6,0
90,20,1.05,89,0,11,0
91,18,1.1666666666666667,93,0,7,0
92,14,1.5,90,0,10,0
93,20,1.05,97,0,3,0
94,12,1.75,86,0,14,0
95,17,1.2352941176470589,93,0,7,0
96,16,1.3125,89,0,11,0
97,17,1.2352941176470589,91,0,9,0
98,18,1.1666666666666667,90,0,10,0
99,12,1.75,85,0,15,0
100,20,1.05,89,0,11,0
101,19,1.105263157894737,91,0,9,0
102,12,1.75,88,0,12,0
103,18,1.1666666666666667,93,0,7,0
104,17,1.2352941176470589,84,0,16,0
105,15,1.4,92,0,8,0
106,19,1.105263157894737,93,0,7,0
107,19,1.105263157894737,96,0,4,0
108,19,1.105263157894737,96,0,4,0
109,18,1.1666666666666667,89,0,11,0
110,15,1.4,89,0,11,0
111,18,1.1666666666666667,90,0,10,0
112,18,1.1666666666666667,92,0,8,0
113,17,1.2352941176470589,90,0,10,0
114,20,1.05,96,0,4,0
115,17,1.2352941176470589,92,0,8,0
116,12,1.75,85,0,15,0
117,18,1.1666666666666667,93,0,7,0
118,16,1.3125,86,0,14,0
119,18,1.1666666666666667,94,0,6,0
120,17,1.2352941176470589,88,0,12,0
121,20,1.05,94,0,6,0
122,15,1.4,90,0,10,0
123,17,1.2352941176470589,85,0,15,0
124,19,1.105263157894737,88,0,12,0
125,14,1.5,87,0,13,0
126,19,1.105263157894737,91,0,9,0
127,15,1.4,87,0,13,0
128,13,1.6153846153846154,87,0,13,0
129,19,1.105263157894737,93,0,7,0
130,20,1.05,95,0,5,0
131,16,1.3125,88,0,12,0
132,16,1.3125,89,0,11,0
133,16,1.3125,92,0,8,0
134,14,1.5,88,0,12,0
135,18,1.1666666666666667,88,0,12,0
136,17,1.2352941176470589,90,0,10,0
137,19,1.105263157894737,94,0,6,0
138,19,1.105263157894737,92,0,8,0
139,19,1.105263157894737,90,0,10,0
140,17,1.2352941176470589,88,0,12,0
141,20,1.05,90,0,10,0
142,19,1.105263157894737,96,0,4,0
143,16,1.3125,92,0,8,0
144,18,1.1666666666666667,89,0,11,0
145,18,1.1666666666666667,93,0,7,0
146,19,1.105263157894737,94,0,6,0
147,10,2.1,85,0,15,0
148,16,1.3125,89,0,11,0
149,16,1.3125,92,0,8,0
150,11,1.9090909090909092,83,0,17,0
151,19,1.105263157894737,90,0,10,0
152,17,1.2352941176470589,92,0,8,0
153,18,1.1666666666666667,92,0,8,0
154,19,1.105263157894737,93,0,7,0
155,17,1.2352941176470589,89,0,11,0
156,14,1.5,86,0,14,0
157,15,1.4,90,0,10,0
158,14,1.5,88,0,12,0
159,12,1.75,88,0,12,0
160,17,1.2352941176470589,91,0,9,0
161,13,1.6153846153846154,88,0,12,0
162,18,1.1666666666666667,94,0,6,0
163,18,1.1666666666666667,94,0,6,0
164,19,1.105263157894737,89,0,11,0
165,18,1.1666666666666667,92,0,8,0
166,13,1.6153846153846154,89,0,11,0
167,16,1.3125,93,0,7,0
168,15,1.4,89,0,11,0
169,15,1.4,84,0,16,0
170,16,1.3125,90,0,10,0
171,16,1.3125,93,0,7,0
172,20,1.05,92,0,8,0
173,17,1.2352941176470589,93,0,7,0
174,17,1.2352941176470589,93,0,7,0
175,13,1.6153846153846154,89,0,11,0
176,17,1.2352941176470589,91,0,9,0
177,16,1.3125,93,0,7,0
178,18,1.1666666666666667,91,0,9,0
179,19,1.105263157894737,91,0,9,0
