iteration,temperature,dsp,bram,lut,ff,violation
0,20.0,3168,4593,1446037,1654194,True
2,19.8005,664,2546,1196343,1449776,True
3,19.7014975,266,784,124451,147830,True
4,19.602990012499998,2613,3245,206030,244297,True
5,19.5049750624375,794,1352,306700,371611,True
6,19.40745018712531,2082,4278,4393719,5036229,True
7,19.31041293618968,656,1990,1644933,1945474,True
8,19.213860871508732,2053,3852,590146,693942,True
9,19.117791567151187,2006,3830,821052,983644,True
10,19.022202609315432,186,790,141750,165492,True
11,18.927091596268856,5232,6018,337748,391815,True
12,18.83245613828751,3229,3591,309309,356265,True
13,18.738293857596073,5279,5827,438136,502416,True
14,18.644602388308094,154,1319,353184,397179,True
15,18.551379376366555,208,1451,597080,688801,True
16,18.45862247948472,1436,2122,448952,511027,True
17,18.366329367087296,667,1077,394875,470181,True
18,18.27449772025186,796,1290,376754,430915,True
19,18.1831252316506,2256,4705,4487721,5144015,True
20,18.092209605492346,2134,3315,461512,519123,True
21,18.001748557464886,556,1020,75827,88686,True
23,17.82218111560417,1571,2685,1129469,1362159,True
24,17.73307021002615,271,706,46691,52995,True
25,17.644404858976017,304,1668,455493,528370,True
26,17.556182834681138,854,2101,557685,648326,True
27,17.468401920507734,1608,2730,999135,1204978,True
30,17.207683838293917,153,849,276038,330500,True
31,17.121645419102446,666,1262,166602,199160,True
32,17.036037192006933,851,1343,206411,238765,True
33,16.9508570060469,1124,2203,580644,656418,True
34,16.866102721016663,395,852,59991,68125,True
35,16.781772207411578,656,1210,218900,252167,True
36,16.69786334637452,899,2074,378332,422300,True
38,16.531302159494434,1218,2645,921103,1082023,True
39,16.44864564869696,1048,1514,206414,245927,True
40,16.366402420453475,1600,3347,2630641,3011953,True
42,16.203147556309453,809,1357,130642,148253,True
44,16.041521159435266,368,806,86216,100123,True
45,15.96131355363809,5744,7990,3235413,3822779,True
46,15.8815069858699,453,1421,319114,378296,True
47,15.802099450940549,934,2007,468800,532954,True
48,15.723088953685846,515,1215,279585,334400,True
49,15.644473508917416,5604,7463,607336,712964,True
50,15.56625114137283,3232,4054,479212,561394,True
51,15.488419885665966,5284,5750,204074,234706,True
52,15.410977786237636,1097,1541,97005,115428,True
53,15.333922897306447,51360,53907,4679977,5355503,True
54,15.257253282819915,14016,15318,1610853,1906146,True
55,15.180967016405816,2018,2628,246818,281923,True
57,15.029536870417168,2304,2986,359805,431774,True
58,14.954389186065082,51232,53014,4305388,4937440,True
59,14.879617240134756,2956,3738,557736,667806,True
60,14.805219153934082,240,1546,710853,854994,True
61,14.731193058164411,840,2122,1312503,1559693,True
62,14.65753709287359,283,853,130161,150618,True
63,14.58424940740922,648,1370,262571,303459,True
64,14.511328160372175,5232,5882,478892,549314,True
65,14.438771519570315,3896,4368,186138,223261,True
66,14.366577661972464,206,960,345888,416378,True
67,14.294744773662602,154,554,129146,155469,True
68,14.223271049794288,1528,2701,371904,433401,True
69,14.152154694545317,329,2118,429510,494924,True
70,14.081393921072591,124,890,461832,557214,True
71,14.010986951467228,12448,14995,4679977,5355503,True
73,13.871227356626342,5568,7762,2935413,3492011,True
74,13.80187121984321,2219,2751,163931,196288,True
75,13.732861863743995,6464,8211,2630641,3011953,True
77,13.595876566653148,2104,2798,267619,319795,True
78,13.527897183819881,4192,5254,1008769,1191486,True
79,13.460257697900781,6578,7464,808009,954791,True
81,13.32599162736422,152,1248,596606,722995,True
82,13.259361669227399,1298,3210,1115710,1355669,True
83,13.193064860881261,11984,14214,1525269,1822347,True
84,13.127099536576855,6848,7762,848041,1003699,True
86,12.9961567186995,672,1402,709821,819550,True
87,12.931175935106003,1692,2722,585265,700030,True
88,12.866520055430472,3214,4926,693520,838918,True
90,12.738176517877553,411,1339,360312,434308,True
91,12.674485635288166,2168,3294,1027455,1236114,True
92,12.611113207111725,1618,2270,243618,277299,True
93,12.548057641076166,684,1134,206784,237179,True
94,12.485317352870785,938,1368,156469,177494,True
95,12.42289076610643,3539,4951,741674,867117,True
96,12.360776312275899,578,1184,190178,219667,True
97,12.29897243071452,544,1462,311497,368787,True
98,12.237477568560946,878,1402,285926,338309,True
99,12.17629018071814,796,1962,825124,993885,True
100,12.11540872981455,3928,4666,474331,558787,True
101,12.054831686165478,945,1612,182286,210534,True
102,11.994557527734651,2126,2704,241800,290847,True
103,11.934584740095978,6476,8438,1473628,1764443,True
104,11.874911816395498,592,1326,738141,850686,True
105,11.81553725731352,7907,8493,615627,731240,True
106,11.756459571026953,209,655,97005,115428,True
107,11.697677273171818,3152,5230,1899069,2288416,True
108,11.63918888680596,838,1997,236144,267475,True
109,11.58099294237193,4526,4972,425394,505783,True
111,11.46547253777177,618,1702,378708,442636,True
112,11.408145175082911,372,982,216278,256882,True
113,11.351104449207497,326,728,136234,163263,True
115,11.237877182326653,1754,2268,435618,499333,True
116,11.18168779641502,10576,12038,1810845,2142269,True
117,11.125779357432945,572,1146,504563,581170,True
119,11.014799708342553,51,1049,191251,214701,True
120,10.95972570980084,3296,4487,600383,688028,True
121,10.904927081251834,784,1630,604819,725638,True
122,10.850402445845575,3492,4086,559479,651446,True
123,10.796150433616347,574,884,74511,89045,True
125,10.688458833041024,240,1225,238094,272382,True
126,10.635016538875819,1728,2642,848041,1003699,True
127,10.58184145618144,169,711,192009,231273,True
128,10.528932248900533,26152,28003,2641537,3027044,True
129,10.47628758765603,1794,2516,436688,529384,True
130,10.42390614971775,207,1349,219340,246680,True
131,10.37178661896916,25984,27731,2630641,3011953,True
134,10.21698640720772,5271,6998,2717600,3234516,True
136,10.115071967795823,2694,3134,281074,333619,True
137,10.064496607956844,1286,2086,276380,316100,True
138,10.01417412491706,53648,56243,4696609,5384138,True
139,9.964103254292475,1401,1857,191229,230004,True
140,9.914282738021013,5632,7379,2630641,3011953,True
141,9.864711324330909,15592,16262,527988,605402,True
142,9.815387767709254,12872,14818,1851927,2234736,True
143,9.766310828870708,1192,2324,326260,384525,True
144,9.717479274726355,322,2144,813964,975850,True
145,9.668891878352722,559,844,71598,83446,True
146,9.620547418960959,416,774,124127,147091,True
147,9.572444681866154,46,562,99039,116048,True
148,9.524582458456823,2362,3042,332679,393760,True
149,9.476959546164538,602,1320,338800,408584,True
150,9.429574748433716,1408,2322,848041,1003699,True
151,9.382426874691546,3432,4657,553808,636281,True
152,9.33551474031809,2406,3447,361984,417754,True
154,9.242392980783416,504,858,109955,131511,True
155,9.1961810158795,160,588,82915,96480,True
156,9.150200110800101,50,568,124451,147830,True
158,9.05892686469487,282,694,112188,131315,True
159,9.013632230371396,3556,4621,475844,541826,True
161,8.923721248873441,323,1121,243337,277682,True
162,8.879102642629075,786,1254,99039,116048,True
163,8.83470712941593,8636,9258,423986,504790,True
164,8.790533593768851,5248,6995,2630641,3011953,True
166,8.702848021171008,3544,4146,476600,575555,True
167,8.659333781065152,2104,3257,771495,882242,True
169,8.572956926599028,143,843,279585,334400,True
170,8.530092141966033,5443,7345,1445813,1733741,True
171,8.487441681256204,96,702,310584,376067,True
172,8.445004472849924,5392,7538,2918781,3463376,True
173,8.402779450485674,752,2990,2212437,2643131,True
174,8.360765553233247,168,1042,403683,480766,True
175,8.31896172546708,544,1074,294069,352419,True
176,8.277366916839744,2408,3563,876295,996834,True
177,8.235980082255546,1384,2018,439764,513338,True
178,8.194800181844268,288,818,294069,352419,True
179,8.153826180935047,1384,1898,166979,198082,True
181,8.07249176478022,1732,2334,244598,288018,True
182,8.03212930595632,833,1387,171950,204969,True
183,7.991968659426537,1128,2250,999135,1204978,True
184,7.952008816129404,4544,5302,551731,645979,True
185,7.912248772048757,2416,4219,969193,1148844,True
186,7.872687528188513,300,1533,518696,592817,True
187,7.8333240905475705,2836,3490,342136,395827,True
188,7.794157470094833,1858,2500,300258,339555,True
189,7.755186682744358,107,1935,497787,586536,True
190,7.716410749330636,5251,7150,853685,994989,True
191,7.677828695583983,401,708,62198,71302,True
192,7.639439552106063,2760,4706,1851927,2234736,True
193,7.601242354345533,11256,13689,4466961,5119079,True
194,7.563236142573806,1361,1984,242822,276807,True
195,7.525419961860937,1568,2190,347902,410170,True
196,7.4877928620516325,1282,1856,234712,283053,True
197,7.450353897741374,7700,8710,943120,1141158,True
