iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,19,1.105263157894737,86,0,14,0
1,17,1.2352941176470589,86,0,14,0
2,17,1.2352941176470589,91,0,9,0
3,17,1.2352941176470589,92,0,8,0
4,13,1.6153846153846154,91,0,9,0
5,16,1.3125,85,0,15,0
6,19,1.105263157894737,91,0,9,0
7,15,1.4,86,0,14,0
8,17,1.2352941176470589,91,0,9,0
9,18,1.1666666666666667,91,0,9,0
10,17,1.2352941176470589,91,0,9,0
11,16,1.3125,90,0,10,0
12,16,1.3125,91,0,9,0
13,18,1.1666666666666667,92,0,8,0
14,15,1.4,89,0,11,0
15,17,1.2352941176470589,85,0,15,0
16,16,1.3125,92,0,8,0
17,16,1.3125,91,0,9,0
18,18,1.1666666666666667,89,0,11,0
19,19,1.105263157894737,90,0,10,0
20,13,1.6153846153846154,84,0,16,0
21,16,1.3125,91,0,9,0
22,20,1.05,93,0,7,0
23,14,1.5,87,0,13,0
24,16,1.3125,88,0,12,0
25,15,1.4,85,0,15,0
26,15,1.4,89,0,11,0
27,17,1.2352941176470589,86,0,14,0
28,18,1.1666666666666667,85,0,15,0
29,20,1.05,92,0,8,0
30,16,1.3125,89,0,11,0
31,14,1.5,91,0,9,0
32,17,1.2352941176470589,93,0,7,0
33,16,1.3125,89,0,11,0
34,17,1.2352941176470589,85,0,15,0
35,19,1.105263157894737,91,0,9,0
36,17,1.2352941176470589,90,0,10,0
37,20,1.05,93,0,7,0
38,18,1.1666666666666667,92,0,8,0
39,16,1.3125,85,0,15,0
40,17,1.2352941176470589,91,0,9,0
41,17,1.2352941176470589,90,0,10,0
42,18,1.1666666666666667,89,0,11,0
43,16,1.3125,90,0,10,0
44,17,1.2352941176470589,92,0,8,0
45,16,1.3125,92,0,8,0
46,17,1.2352941176470589,88,0,12,0
47,19,1.105263157894737,93,0,7,0
48,17,1.2352941176470589,85,0,15,0
49,20,1.05,95,0,5,0
50,20,1.05,93,0,7,0
51,15,1.4,89,0,11,0
52,20,1.05,90,0,10,0
53,12,1.75,86,0,14,0
54,16,1.3125,90,0,10,0
