iteration,temperature,dsp,bram,lut,ff,violation
0,50.0,3696,10895,3957984,5114064,True
1,49.75,50608,57092,39643229,47718368,True
2,49.50125,9262,17595,25606360,31883595,True
3,49.25374375,161541,171509,191426270,242239886,True
4,49.007475031249996,24888,30479,13226777,16722099,True
5,48.762437656093745,48971,56162,97228694,116113139,True
6,48.51862546781327,13836,20944,9749347,12326313,True
7,48.27603234047421,45359,52959,123746011,158033899,True
8,48.034652178771836,1792,8950,6153777,7824263,True
9,47.794478917877974,2949,10109,10354118,12914542,True
10,47.555506523288585,74728,80841,114876514,133219505,True
11,47.317728990672144,2591,8835,5693091,6670430,True
12,47.08114034571879,35654,43269,39295650,47251137,True
13,46.84573464399019,4882,12963,15141145,19824885,True
14,46.61150597077024,16760,21156,21177530,26086953,True
15,46.37844844091639,5748,12653,5903284,7026531,True
16,46.14655619871181,50782,54234,32597251,39352481,True
17,45.91582341771825,1308,7645,2669526,3408924,True
18,45.68624430062966,35148,43070,53609726,66903777,True
19,45.45781307912651,5241,12450,5092251,6514590,True
20,45.23052401373088,50882,58225,58400341,75610211,True
21,45.004371393662225,30924,37754,40576293,50497671,True
22,44.779349536693914,39925,46406,83832322,105138059,True
23,44.555452789010445,97817,105276,77705884,95623506,True
24,44.33267552506539,10243,16810,12777120,16218408,True
25,44.111012147440064,20995,30529,14018012,17518564,True
26,43.89045708670287,26721,33606,22486884,27042267,True
27,43.671004801269355,7859,16336,8601291,10545556,True
28,43.452649777263005,3279,9941,3297282,4134497,True
29,43.23538652837669,202217,208202,141220923,171300630,True
30,43.0192095957348,5500,15078,5528054,6958627,True
31,42.804113547756124,93496,99299,28968234,35111417,True
32,42.590092980017346,110358,118580,73682063,86230377,True
33,42.37714251511726,2585,12546,9612397,12382821,True
34,42.16525680254167,1813,7166,3698008,4690554,True
35,41.95443051852896,50093,58318,36834638,42751771,True
36,41.74465836593632,5718,11086,15696928,20006003,True
37,41.53593507410663,3268,11629,3407346,4362087,True
38,41.3282553987361,3637,9497,4481886,5516971,True
39,41.12161412174242,463,6699,1082422,1382943,True
40,40.91600605113371,150538,156714,40645146,47813557,True
41,40.71142602087804,597,6267,717547,902335,True
42,40.50786889077364,13403,17577,27382633,33570090,True
43,40.305329546319776,3496,8682,12455280,16310134,True
44,40.10380289858818,49586,57574,63062513,73983477,True
45,39.90328388409524,26029,34887,49115418,59846845,True
46,39.70376746467476,4157,9703,6232462,7350929,True
47,39.505248627351385,7232,14165,19595667,25574749,True
