iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,3,1.6666666666666667,90,0,10,0
1,4,1.25,91,91,9,9
2,4,1.25,94,94,6,6
3,2,2.5,91,0,9,0
4,1,5.0,89,0,11,0
5,3,1.6666666666666667,88,0,12,0
6,4,1.25,89,89,11,11
7,3,1.6666666666666667,93,93,7,7
8,2,2.5,94,0,6,0
9,1,5.0,85,0,15,0
10,1,5.0,94,0,6,0
11,2,2.5,94,0,6,0
12,1,5.0,90,0,10,0
13,2,2.5,92,0,8,0
14,1,5.0,92,0,8,0
15,1,5.0,92,0,8,0
16,3,1.6666666666666667,89,0,11,0
17,3,1.6666666666666667,89,0,11,0
18,3,1.6666666666666667,94,0,6,0
19,2,2.5,91,91,9,9
20,1,5.0,92,0,8,0
21,2,2.5,93,93,7,7
22,4,1.25,89,0,11,0
23,2,2.5,93,0,7,0
24,3,1.6666666666666667,85,0,15,0
25,1,5.0,89,0,11,0
26,2,2.5,93,0,7,0
27,1,5.0,89,0,11,0
28,3,1.6666666666666667,90,0,10,0
29,5,1.0,88,0,12,0
30,3,1.6666666666666667,88,0,12,0
31,1,5.0,87,0,13,0
32,1,5.0,92,92,8,8
33,2,2.5,89,0,11,0
34,1,5.0,90,0,10,0
35,1,5.0,93,0,7,0
36,2,2.5,94,0,6,0
37,3,1.6666666666666667,82,0,18,0
38,2,2.5,92,92,8,8
39,3,1.6666666666666667,90,0,10,0
40,4,1.25,91,0,9,0
41,1,5.0,96,0,4,0
42,3,1.6666666666666667,93,93,7,7
43,2,2.5,91,0,9,0
44,2,2.5,94,0,6,0
45,2,2.5,89,0,11,0
46,3,1.6666666666666667,87,0,13,0
47,2,2.5,94,94,6,6
48,1,5.0,88,0,12,0
49,3,1.6666666666666667,90,0,10,0
50,2,2.5,93,93,7,7
51,4,1.25,94,0,6,0
52,4,1.25,87,0,13,0
53,1,5.0,95,0,5,0
54,1,5.0,89,0,11,0
55,3,1.6666666666666667,87,0,13,0
56,1,5.0,98,0,2,0
57,1,5.0,94,0,6,0
58,2,2.5,92,0,8,0
59,1,5.0,83,0,17,0
60,1,5.0,93,0,7,0
61,2,2.5,91,91,9,9
62,2,2.5,93,93,7,7
63,2,2.5,90,0,10,0
64,2,2.5,86,0,14,0
65,2,2.5,94,0,6,0
66,1,5.0,92,0,8,0
67,2,2.5,90,0,10,0
68,3,1.6666666666666667,85,0,15,0
69,2,2.5,90,0,10,0
70,1,5.0,91,0,9,0
71,1,5.0,88,0,12,0
72,2,2.5,93,93,7,7
73,2,2.5,93,0,7,0
74,1,5.0,87,0,13,0
75,2,2.5,90,0,10,0
76,3,1.6666666666666667,89,0,11,0
77,2,2.5,86,0,14,0
78,1,5.0,86,0,14,0
79,3,1.6666666666666667,95,0,5,0
80,1,5.0,96,0,4,0
81,2,2.5,96,0,4,0
82,1,5.0,88,88,12,12
83,2,2.5,87,0,13,0
84,4,1.25,91,0,9,0
85,2,2.5,87,0,13,0
86,3,1.6666666666666667,85,0,15,0
87,1,5.0,90,0,10,0
88,2,2.5,94,0,6,0
89,3,1.6666666666666667,91,0,9,0
90,2,2.5,89,0,11,0
91,3,1.6666666666666667,85,0,15,0
92,3,1.6666666666666667,94,0,6,0
93,2,2.5,90,0,10,0
94,3,1.6666666666666667,88,0,12,0
95,1,5.0,89,0,11,0
96,1,5.0,89,89,11,11
97,1,5.0,96,0,4,0
98,3,1.6666666666666667,88,0,12,0
99,1,5.0,90,0,10,0
100,1,5.0,82,0,18,0
101,4,1.25,90,0,10,0
102,2,2.5,93,93,7,7
103,1,5.0,88,0,12,0
104,3,1.6666666666666667,93,0,7,0
105,2,2.5,91,0,9,0
106,1,5.0,88,0,12,0
107,2,2.5,86,0,14,0
108,4,1.25,90,0,10,0
109,1,5.0,88,0,12,0
110,2,2.5,89,0,11,0
111,3,1.6666666666666667,86,0,14,0
112,1,5.0,92,92,8,8
113,3,1.6666666666666667,94,0,6,0
114,4,1.25,94,0,6,0
115,3,1.6666666666666667,90,0,10,0
116,2,2.5,90,90,10,10
117,2,2.5,90,90,10,10
118,4,1.25,90,0,10,0
119,2,2.5,93,0,7,0
120,2,2.5,87,0,13,0
121,2,2.5,91,91,9,9
122,3,1.6666666666666667,88,0,12,0
123,1,5.0,91,0,9,0
124,3,1.6666666666666667,91,0,9,0
125,2,2.5,88,0,12,0
126,1,5.0,92,0,8,0
127,2,2.5,94,0,6,0
128,1,5.0,88,0,12,0
129,1,5.0,89,0,11,0
130,3,1.6666666666666667,86,0,14,0
131,3,1.6666666666666667,88,0,12,0
132,2,2.5,90,0,10,0
133,3,1.6666666666666667,91,0,9,0
134,1,5.0,92,0,8,0
