iteration,temperature,dsp,bram,lut,ff,violation
0,10.0,2676,5943,1692947,2078569,True
1,9.95,21015,22994,5259754,6476142,True
2,9.90025,3546,5090,2841967,3699495,True
3,9.85074875,10438,12527,2714642,3267157,True
4,9.801495006249999,3753,5481,2683684,3298136,True
5,9.75248753121875,1027,3609,1577467,2023242,True
6,9.703725093562655,1571,4522,3476856,4356560,True
7,9.65520646809484,385,2357,957419,1235499,True
8,9.606930435754366,25201,28805,29445905,35533978,True
9,9.558895783575593,10865,13578,15023688,18146202,True
10,9.511101304657716,997,2746,1859470,2319993,True
11,9.463545798134428,9696,11974,3222588,4073969,True
12,9.416228069143756,3074,5074,3893859,4641861,True
13,9.369146928798036,38494,40955,9892642,12669308,True
14,9.322301194154047,80708,86977,36875381,44012618,True
15,9.275689688183277,2084,5875,3324283,4262257,True
16,9.22931123974236,552,2950,1096616,1418443,True
17,9.183164683543648,495,2391,515820,673630,True
18,9.13724886012593,6598,9366,11431241,14248404,True
19,9.0915626158253,20551,22156,4296187,5010991,True
20,9.046104802746173,4537,7930,8950666,11377779,True
21,9.000874278732443,800,2820,1284109,1570856,True
22,8.95586990733878,3700,5574,4965292,6173853,True
23,8.911090557802085,3692,6166,4358283,5409189,True
24,8.866535105013075,25863,28217,17405828,22242290,True
25,8.822202429488009,4726,7243,2060015,2532314,True
26,8.778091417340569,352,2735,872430,1125683,True
27,8.734200960253867,1112,2865,1946565,2454244,True
28,8.690529955452599,13927,17134,10469305,13171682,True
29,8.647077305675335,1281,2861,1432344,1838545,True
30,8.603841919146959,1505,3778,2302986,2876881,True
31,8.560822709551223,646,2701,1230083,1543912,True
32,8.518018596003467,4851,6115,1551349,2017273,True
33,8.47542850302345,14889,17340,11109087,14444959,True
34,8.433051360508331,3934,6136,4072764,4786194,True
35,8.390886103705789,18897,20866,5888714,7644740,True
36,8.34893167318726,7686,11130,6931803,9058446,True
37,8.307187014821324,4532,6730,10289074,13445187,True
38,8.265651079747217,1612,3980,1660103,2095672,True
39,8.22432282434848,5383,7056,1784292,2240936,True
40,8.183201210226738,10075,12137,3580302,4566235,True
41,8.142285204175604,3574,8217,9274236,12084080,True
42,8.101573778154727,18790,21011,13306256,17208010,True
43,8.061065909263952,877,3976,2550351,3247894,True
44,8.020760579717633,2814,4934,1369737,1762659,True
45,7.980656776819045,2837,5402,3380245,4108705,True
46,7.94075349293495,12974,16051,21812913,27929083,True
47,7.9010497254702745,43007,45995,12993893,16832809,True
48,7.861544476842923,1861,3967,1415286,1743006,True
49,7.822236754458708,12144,14290,2359861,2912613,True
50,7.783125570686415,14349,17453,5687519,7309693,True
51,7.744209942832983,5033,7023,1623621,2009775,True
52,7.705488893118818,5618,7862,13195913,17267088,True
53,7.666961448653224,880,2850,2371147,3019356,True
54,7.628626641409958,1134,3780,2081364,2624670,True
55,7.590483508202908,5887,8043,2671807,3359779,True
56,7.552531090661893,19796,22774,20961683,24201762,True
57,7.514768435208584,487,2466,1398790,1793270,True
58,7.477194593032541,1204,4082,1518096,1915967,True
59,7.439808620067378,12041,13817,6240296,7944262,True
60,7.402609576967041,876,2794,1313974,1690106,True
61,7.365596529082206,150746,153350,25979636,32276118,True
62,7.328768546436795,892,4180,2160650,2743949,True
63,7.29212470370461,150464,152945,18629372,21840194,True
64,7.255664080186087,11721,13124,3414871,4429274,True
65,7.219385759785157,1240,3406,1951123,2535458,True
66,7.183288830986232,1328,4016,2868386,3599778,True
67,7.147372386831301,1330,3496,3222037,4031577,True
68,7.111635524897144,7492,9540,3644664,4429779,True
69,7.076077347272658,39738,42920,10958628,13858379,True
70,7.0406969605362955,1884,3454,1817998,2328916,True
71,7.005493475733614,1403,3151,909277,1194480,True
72,6.970466008354946,4973,7104,3359194,4228023,True
73,6.935613678313171,13222,15670,18362055,23191347,True
74,6.900935609921605,157,1988,392085,509319,True
75,6.866430931871998,5158,6533,2353239,3004110,True
76,6.832098777212638,3314,7216,4245360,5129098,True
77,6.797938283326574,2953,4715,1424382,1809178,True
78,6.763948591909941,9274,11364,11235983,13023316,True
79,6.7301288489503905,3585,5806,3512911,4357730,True
80,6.696478204705638,5449,7941,6808542,7965537,True
81,6.66299581368211,28972,31108,14377863,17818733,True
82,6.6296808346136995,3249,6408,4491133,5420677,True
83,6.5965324304406305,24921,27907,13860401,17053058,True
84,6.563549768288428,11531,13888,7348696,9379566,True
85,6.530732019446986,25402,27935,17647779,22611593,True
86,6.49807835934975,12279,15628,6562383,8643511,True
87,6.4655879675530015,293,2269,681076,859961,True
88,6.433260027715236,7332,9792,10460768,13361373,True
89,6.40109372757666,8968,12594,20156044,26398037,True
90,6.369088258938777,19012,22217,6620081,8577905,True
91,6.337242817644083,1005,2707,1064600,1316118,True
92,6.305556603555862,5450,7714,5045341,6042045,True
93,6.274028820538083,2504,5461,1748113,2241852,True
94,6.242658676435393,3370,6112,2169612,2632965,True
95,6.211445383053215,2628,4888,4716992,6132354,True
96,6.1803881561379495,10728,13745,11348917,13441128,True
97,6.14948621535726,975,3395,961302,1211150,True
98,6.118738784280473,75924,79510,20753372,27089083,True
99,6.08814509035907,549,3552,1571131,1970696,True
100,6.057704364907275,24663,27802,19214794,25220868,True
101,6.027415843082739,1562,4103,1834752,2366214,True
102,5.9972787638673255,13608,16870,6915075,8693504,True
103,5.967292370047989,4125,6450,5421154,6717952,True
104,5.937455908197749,2570,4723,1876338,2260357,True
105,5.90776862865676,6488,9018,5211071,6595486,True
106,5.878229785513477,658,2434,762652,994777,True
107,5.848838636585909,3101,4823,888809,1098383,True
108,5.81959444340298,3405,7473,4177344,5383264,True
109,5.790496471185965,74155,76684,8807341,10248590,True
110,5.761543988830035,2038,4168,1637223,2013405,True
111,5.732736268885885,11510,13884,10580683,12543138,True
112,5.7040725875414555,885,2890,1067611,1367622,True
113,5.675552224603749,14173,17546,9540411,12221043,True
114,5.64717446348073,2911,5829,2641128,3352377,True
115,5.618938591163326,1673,3839,1779107,2282909,True
116,5.59084389820751,16801,19606,17000982,19777155,True
117,5.5628896787164726,1173,3089,1625002,1907711,True
118,5.5350752303228905,727,3093,1923921,2471721,True
119,5.507399854171276,918,2335,771986,1008360,True
120,5.47986285490042,5976,8643,10492149,13341889,True
121,5.452463540625917,1840,4634,1339321,1712856,True
