iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,1,5.0,88,0,12,0
1,4,1.25,89,0,11,0
2,4,1.25,88,0,12,0
3,2,2.5,97,0,3,0
4,2,2.5,88,0,12,0
5,2,2.5,93,0,7,0
6,1,5.0,92,0,8,0
7,1,5.0,90,0,10,0
8,3,1.6666666666666667,89,89,11,11
9,2,2.5,94,0,6,0
10,1,5.0,90,0,10,0
11,2,2.5,95,95,5,5
12,2,2.5,91,0,9,0
13,2,2.5,88,0,12,0
14,1,5.0,93,0,7,0
15,2,2.5,91,91,9,9
16,1,5.0,86,0,14,0
17,1,5.0,89,0,11,0
18,1,5.0,87,87,13,13
19,2,2.5,93,0,7,0
20,2,2.5,92,0,8,0
21,2,2.5,89,0,11,0
22,2,2.5,89,0,11,0
23,3,1.6666666666666667,94,0,6,0
24,1,5.0,91,0,9,0
25,3,1.6666666666666667,87,0,13,0
26,2,2.5,92,0,8,0
27,3,1.6666666666666667,94,0,6,0
28,2,2.5,95,95,5,5
29,2,2.5,89,89,11,11
30,1,5.0,87,0,13,0
31,4,1.25,86,0,14,0
32,2,2.5,92,0,8,0
33,2,2.5,91,91,9,9
34,2,2.5,92,0,8,0
35,3,1.6666666666666667,91,0,9,0
36,1,5.0,83,0,17,0
37,2,2.5,84,0,16,0
38,3,1.6666666666666667,89,0,11,0
39,3,1.6666666666666667,89,0,11,0
40,1,5.0,90,0,10,0
41,2,2.5,88,0,12,0
42,4,1.25,86,0,14,0
43,2,2.5,92,0,8,0
44,1,5.0,94,0,6,0
45,1,5.0,94,0,6,0
46,2,2.5,91,0,9,0
47,1,5.0,95,95,5,5
48,1,5.0,94,0,6,0
49,1,5.0,93,0,7,0
50,2,2.5,88,0,12,0
51,3,1.6666666666666667,88,0,12,0
52,2,2.5,87,0,13,0
53,2,2.5,92,0,8,0
54,2,2.5,90,0,10,0
55,3,1.6666666666666667,94,94,6,6
56,5,1.0,88,0,12,0
57,3,1.6666666666666667,92,0,8,0
58,4,1.25,90,0,10,0
59,2,2.5,93,0,7,0
60,2,2.5,88,0,12,0
61,1,5.0,92,92,8,8
62,1,5.0,94,0,6,0
63,2,2.5,88,88,12,12
64,5,1.0,85,0,15,0
65,3,1.6666666666666667,88,0,12,0
66,2,2.5,91,91,9,9
67,3,1.6666666666666667,91,0,9,0
68,4,1.25,90,0,10,0
69,1,5.0,91,0,9,0
70,1,5.0,94,0,6,0
71,1,5.0,91,0,9,0
72,1,5.0,91,0,9,0
73,2,2.5,94,0,6,0
74,1,5.0,89,0,11,0
75,1,5.0,92,0,8,0
76,3,1.6666666666666667,89,0,11,0
77,2,2.5,92,92,8,8
78,1,5.0,90,0,10,0
79,3,1.6666666666666667,92,92,8,8
80,2,2.5,88,0,12,0
81,1,5.0,85,85,15,15
82,2,2.5,93,0,7,0
83,2,2.5,90,0,10,0
84,1,5.0,90,0,10,0
85,1,5.0,94,0,6,0
86,4,1.25,86,86,14,14
87,2,2.5,95,95,5,5
88,4,1.25,90,0,10,0
89,2,2.5,91,0,9,0
90,3,1.6666666666666667,91,0,9,0
91,1,5.0,89,0,11,0
92,1,5.0,94,0,6,0
93,3,1.6666666666666667,85,0,15,0
94,2,2.5,81,0,19,0
95,5,1.0,87,0,13,0
96,3,1.6666666666666667,93,0,7,0
97,3,1.6666666666666667,89,0,11,0
98,2,2.5,90,0,10,0
99,4,1.25,97,97,3,3
100,1,5.0,92,92,8,8
101,4,1.25,93,0,7,0
102,4,1.25,90,0,10,0
103,2,2.5,89,0,11,0
104,2,2.5,89,0,11,0
105,5,1.0,91,0,9,0
106,4,1.25,95,0,5,0
107,3,1.6666666666666667,90,0,10,0
108,2,2.5,93,93,7,7
109,1,5.0,93,0,7,0
110,4,1.25,92,0,8,0
111,2,2.5,90,0,10,0
112,2,2.5,86,0,14,0
113,2,2.5,89,0,11,0
114,1,5.0,87,0,13,0
115,1,5.0,86,0,14,0
116,1,5.0,91,0,9,0
117,3,1.6666666666666667,89,0,11,0
118,2,2.5,91,0,9,0
119,2,2.5,90,90,10,10
120,2,2.5,91,0,9,0
121,4,1.25,91,0,9,0
122,2,2.5,88,0,12,0
123,3,1.6666666666666667,90,0,10,0
124,2,2.5,92,92,8,8
125,2,2.5,88,0,12,0
126,1,5.0,91,0,9,0
127,2,2.5,89,0,11,0
128,3,1.6666666666666667,89,89,11,11
129,1,5.0,87,0,13,0
130,2,2.5,89,0,11,0
131,3,1.6666666666666667,92,92,8,8
132,1,5.0,89,0,11,0
133,5,1.0,88,0,12,0
134,3,1.6666666666666667,89,0,11,0
135,1,5.0,89,0,11,0
136,3,1.6666666666666667,83,0,17,0
137,4,1.25,92,0,8,0
138,3,1.6666666666666667,93,93,7,7
139,2,2.5,89,0,11,0
140,2,2.5,92,0,8,0
141,1,5.0,84,0,16,0
142,4,1.25,89,89,11,11
143,2,2.5,92,0,8,0
144,2,2.5,89,0,11,0
145,4,1.25,86,0,14,0
146,3,1.6666666666666667,94,0,6,0
147,4,1.25,92,0,8,0
148,1,5.0,93,0,7,0
149,5,1.0,84,0,16,0
150,1,5.0,90,90,10,10
151,2,2.5,94,0,6,0
152,4,1.25,87,0,13,0
153,1,5.0,90,0,10,0
154,3,1.6666666666666667,92,0,8,0
155,1,5.0,89,0,11,0
156,1,5.0,90,0,10,0
157,3,1.6666666666666667,96,0,4,0
158,3,1.6666666666666667,82,0,18,0
159,1,5.0,88,0,12,0
160,1,5.0,88,0,12,0
161,4,1.25,89,0,11,0
162,2,2.5,92,0,8,0
163,2,2.5,92,0,8,0
164,1,5.0,85,0,15,0
165,2,2.5,89,0,11,0
166,4,1.25,85,0,15,0
167,3,1.6666666666666667,95,0,5,0
168,1,5.0,91,0,9,0
169,1,5.0,86,0,14,0
170,1,5.0,95,95,5,5
171,1,5.0,82,82,18,18
172,5,1.0,87,0,13,0
173,1,5.0,83,0,17,0
174,1,5.0,90,0,10,0
175,2,2.5,88,0,12,0
176,2,2.5,89,0,11,0
177,2,2.5,94,0,6,0
178,1,5.0,89,0,11,0
179,2,2.5,90,0,10,0
180,3,1.6666666666666667,85,0,15,0
181,1,5.0,91,0,9,0
182,2,2.5,94,0,6,0
183,5,1.0,89,0,11,0
184,2,2.5,87,0,13,0
185,3,1.6666666666666667,92,0,8,0
186,2,2.5,92,0,8,0
187,1,5.0,88,88,12,12
188,4,1.25,88,0,12,0
189,1,5.0,89,0,11,0
190,1,5.0,91,0,9,0
191,1,5.0,91,0,9,0
192,1,5.0,90,0,10,0
193,2,2.5,90,0,10,0
194,2,2.5,90,90,10,10
195,3,1.6666666666666667,89,0,11,0
196,1,5.0,87,87,13,13
197,1,5.0,90,0,10,0
198,4,1.25,90,0,10,0
199,1,5.0,89,0,11,0
200,2,2.5,90,0,10,0
201,1,5.0,94,0,6,0
202,1,5.0,88,88,12,12
203,2,2.5,91,0,9,0
204,1,5.0,87,0,13,0
205,2,2.5,92,0,8,0
206,1,5.0,89,0,11,0
207,3,1.6666666666666667,90,0,10,0
208,3,1.6666666666666667,87,0,13,0
209,2,2.5,93,0,7,0
210,4,1.25,88,0,12,0
211,1,5.0,91,91,9,9
212,1,5.0,94,0,6,0
213,5,1.0,91,0,9,0
214,5,1.0,90,0,10,0
215,2,2.5,89,0,11,0
216,2,2.5,89,89,11,11
217,1,5.0,90,0,10,0
218,2,2.5,85,0,15,0
219,1,5.0,97,0,3,0
220,1,5.0,90,0,10,0
221,1,5.0,93,93,7,7
222,3,1.6666666666666667,88,0,12,0
223,1,5.0,93,0,7,0
224,3,1.6666666666666667,91,0,9,0
225,1,5.0,88,0,12,0
226,3,1.6666666666666667,92,0,8,0
227,1,5.0,91,0,9,0
228,1,5.0,88,0,12,0
229,3,1.6666666666666667,87,0,13,0
230,1,5.0,89,0,11,0
231,2,2.5,93,93,7,7
232,2,2.5,88,0,12,0
233,3,1.6666666666666667,90,0,10,0
234,2,2.5,94,0,6,0
235,5,1.0,95,0,5,0
236,2,2.5,93,0,7,0
237,4,1.25,84,0,16,0
238,2,2.5,88,0,12,0
239,2,2.5,91,0,9,0
240,3,1.6666666666666667,90,0,10,0
241,1,5.0,86,0,14,0
242,2,2.5,91,0,9,0
243,1,5.0,84,0,16,0
244,2,2.5,90,90,10,10
245,2,2.5,95,0,5,0
246,1,5.0,92,92,8,8
247,3,1.6666666666666667,90,0,10,0
248,3,1.6666666666666667,94,0,6,0
249,1,5.0,80,0,20,0
250,1,5.0,94,0,6,0
