iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,16,1.3125,93,0,7,0
1,18,1.1666666666666667,92,0,8,0
2,16,1.3125,91,0,9,0
3,14,1.5,86,0,14,0
4,17,1.2352941176470589,92,0,8,0
5,17,1.2352941176470589,89,0,11,0
6,16,1.3125,91,0,9,0
7,18,1.1666666666666667,92,0,8,0
8,10,2.1,86,0,14,0
9,13,1.6153846153846154,88,0,12,0
10,18,1.1666666666666667,93,0,7,0
11,14,1.5,88,0,12,0
12,18,1.1666666666666667,93,0,7,0
13,18,1.1666666666666667,91,0,9,0
14,19,1.105263157894737,88,0,12,0
15,17,1.2352941176470589,91,0,9,0
16,17,1.2352941176470589,89,0,11,0
17,18,1.1666666666666667,90,0,10,0
18,17,1.2352941176470589,90,0,10,0
19,16,1.3125,88,0,12,0
20,15,1.4,87,0,13,0
21,15,1.4,90,0,10,0
22,17,1.2352941176470589,89,0,11,0
23,17,1.2352941176470589,94,0,6,0
24,17,1.2352941176470589,87,0,13,0
25,15,1.4,89,0,11,0
26,17,1.2352941176470589,89,0,11,0
27,15,1.4,89,0,11,0
28,17,1.2352941176470589,90,0,10,0
29,19,1.105263157894737,94,0,6,0
30,17,1.2352941176470589,91,0,9,0
31,19,1.105263157894737,92,0,8,0
32,15,1.4,89,0,11,0
33,16,1.3125,86,0,14,0
34,19,1.105263157894737,90,0,10,0
35,16,1.3125,93,0,7,0
36,16,1.3125,87,0,13,0
37,12,1.75,90,0,10,0
38,20,1.05,97,0,3,0
39,16,1.3125,88,0,12,0
40,18,1.1666666666666667,97,0,3,0
41,17,1.2352941176470589,85,0,15,0
42,17,1.2352941176470589,88,0,12,0
43,19,1.105263157894737,89,0,11,0
44,18,1.1666666666666667,93,0,7,0
45,13,1.6153846153846154,86,0,14,0
46,19,1.105263157894737,94,0,6,0
47,16,1.3125,86,0,14,0
48,14,1.5,89,0,11,0
49,18,1.1666666666666667,92,0,8,0
50,18,1.1666666666666667,92,0,8,0
51,15,1.4,85,0,15,0
52,14,1.5,88,0,12,0
53,17,1.2352941176470589,90,0,10,0
54,14,1.5,91,0,9,0
55,18,1.1666666666666667,94,0,6,0
56,17,1.2352941176470589,91,0,9,0
57,19,1.105263157894737,93,0,7,0
58,19,1.105263157894737,93,0,7,0
59,15,1.4,88,0,12,0
60,16,1.3125,86,0,14,0
61,15,1.4,86,0,14,0
62,17,1.2352941176470589,86,0,14,0
63,17,1.2352941176470589,91,0,9,0
64,17,1.2352941176470589,89,0,11,0
65,19,1.105263157894737,91,0,9,0
66,19,1.105263157894737,90,0,10,0
67,19,1.105263157894737,91,0,9,0
68,17,1.2352941176470589,93,0,7,0
69,16,1.3125,88,0,12,0
70,17,1.2352941176470589,94,0,6,0
71,14,1.5,87,0,13,0
72,19,1.105263157894737,91,0,9,0
73,17,1.2352941176470589,89,0,11,0
74,19,1.105263157894737,93,0,7,0
75,18,1.1666666666666667,92,0,8,0
76,17,1.2352941176470589,85,0,15,0
77,17,1.2352941176470589,87,0,13,0
78,16,1.3125,90,0,10,0
79,17,1.2352941176470589,92,0,8,0
80,16,1.3125,92,0,8,0
81,17,1.2352941176470589,93,0,7,0
82,17,1.2352941176470589,95,0,5,0
83,16,1.3125,89,0,11,0
84,11,1.9090909090909092,87,0,13,0
85,18,1.1666666666666667,93,0,7,0
86,18,1.1666666666666667,91,0,9,0
87,17,1.2352941176470589,93,0,7,0
88,16,1.3125,90,0,10,0
89,15,1.4,90,0,10,0
90,19,1.105263157894737,93,0,7,0
91,15,1.4,92,0,8,0
92,18,1.1666666666666667,92,0,8,0
93,16,1.3125,86,0,14,0
94,17,1.2352941176470589,93,0,7,0
95,17,1.2352941176470589,87,0,13,0
96,16,1.3125,89,0,11,0
97,16,1.3125,91,0,9,0
98,19,1.105263157894737,88,0,12,0
99,14,1.5,88,0,12,0
100,16,1.3125,93,0,7,0
101,17,1.2352941176470589,94,0,6,0
102,17,1.2352941176470589,88,0,12,0
103,18,1.1666666666666667,94,0,6,0
104,19,1.105263157894737,94,0,6,0
105,19,1.105263157894737,92,0,8,0
106,13,1.6153846153846154,90,0,10,0
107,13,1.6153846153846154,82,0,18,0
108,16,1.3125,89,0,11,0
109,12,1.75,85,0,15,0
110,17,1.2352941176470589,86,0,14,0
111,18,1.1666666666666667,93,0,7,0
112,16,1.3125,91,0,9,0
113,19,1.105263157894737,94,0,6,0
114,16,1.3125,90,0,10,0
115,20,1.05,93,0,7,0
116,16,1.3125,92,0,8,0
117,19,1.105263157894737,86,0,14,0
118,20,1.05,96,0,4,0
119,20,1.05,92,0,8,0
120,15,1.4,91,0,9,0
121,16,1.3125,88,0,12,0
122,13,1.6153846153846154,86,0,14,0
123,15,1.4,89,0,11,0
124,17,1.2352941176470589,91,0,9,0
125,15,1.4,89,0,11,0
126,19,1.105263157894737,90,0,10,0
127,18,1.1666666666666667,94,0,6,0
128,10,2.1,81,0,19,0
129,14,1.5,86,0,14,0
130,15,1.4,88,0,12,0
131,17,1.2352941176470589,89,0,11,0
132,17,1.2352941176470589,88,0,12,0
133,16,1.3125,90,0,10,0
134,16,1.3125,90,0,10,0
135,14,1.5,85,0,15,0
136,16,1.3125,90,0,10,0
137,18,1.1666666666666667,89,0,11,0
138,19,1.105263157894737,91,0,9,0
139,17,1.2352941176470589,85,0,15,0
140,16,1.3125,86,0,14,0
141,15,1.4,91,0,9,0
142,15,1.4,91,0,9,0
143,11,1.9090909090909092,87,0,13,0
144,19,1.105263157894737,92,0,8,0
145,19,1.105263157894737,92,0,8,0
146,19,1.105263157894737,94,0,6,0
147,17,1.2352941176470589,90,0,10,0
148,17,1.2352941176470589,92,0,8,0
149,17,1.2352941176470589,88,0,12,0
150,15,1.4,87,0,13,0
151,17,1.2352941176470589,90,0,10,0
152,16,1.3125,89,0,11,0
153,16,1.3125,91,0,9,0
154,17,1.2352941176470589,93,0,7,0
155,16,1.3125,89,0,11,0
156,16,1.3125,82,0,18,0
157,18,1.1666666666666667,92,0,8,0
158,17,1.2352941176470589,87,0,13,0
159,17,1.2352941176470589,92,0,8,0
160,16,1.3125,90,0,10,0
161,15,1.4,92,0,8,0
162,16,1.3125,92,0,8,0
163,17,1.2352941176470589,87,0,13,0
164,18,1.1666666666666667,91,0,9,0
165,17,1.2352941176470589,92,0,8,0
166,15,1.4,90,0,10,0
167,17,1.2352941176470589,92,0,8,0
168,12,1.75,84,0,16,0
169,16,1.3125,89,0,11,0
170,15,1.4,87,0,13,0
171,18,1.1666666666666667,90,0,10,0
172,18,1.1666666666666667,91,0,9,0
173,20,1.05,94,0,6,0
174,19,1.105263157894737,92,0,8,0
175,18,1.1666666666666667,93,0,7,0
176,16,1.3125,88,0,12,0
177,16,1.3125,89,0,11,0
178,14,1.5,88,0,12,0
179,19,1.105263157894737,94,0,6,0
180,19,1.105263157894737,96,0,4,0
181,17,1.2352941176470589,89,0,11,0
182,15,1.4,91,0,9,0
183,15,1.4,91,0,9,0
184,19,1.105263157894737,90,0,10,0
185,11,1.9090909090909092,86,0,14,0
186,13,1.6153846153846154,81,0,19,0
187,15,1.4,88,0,12,0
188,15,1.4,85,0,15,0
189,18,1.1666666666666667,88,0,12,0
190,19,1.105263157894737,92,0,8,0
191,17,1.2352941176470589,93,0,7,0
192,17,1.2352941176470589,92,0,8,0
193,20,1.05,96,0,4,0
194,17,1.2352941176470589,92,0,8,0
195,16,1.3125,92,0,8,0
196,18,1.1666666666666667,86,0,14,0
197,16,1.3125,88,0,12,0
198,13,1.6153846153846154,88,0,12,0
199,16,1.3125,90,0,10,0
200,19,1.105263157894737,90,0,10,0
201,17,1.2352941176470589,87,0,13,0
202,15,1.4,90,0,10,0
203,19,1.105263157894737,93,0,7,0
204,18,1.1666666666666667,89,0,11,0
205,17,1.2352941176470589,93,0,7,0
206,17,1.2352941176470589,91,0,9,0
207,18,1.1666666666666667,89,0,11,0
208,13,1.6153846153846154,86,0,14,0
209,19,1.105263157894737,91,0,9,0
210,18,1.1666666666666667,88,0,12,0
211,16,1.3125,90,0,10,0
212,18,1.1666666666666667,85,0,15,0
213,20,1.05,93,0,7,0
214,20,1.05,93,0,7,0
215,18,1.1666666666666667,94,0,6,0
216,17,1.2352941176470589,92,0,8,0
217,17,1.2352941176470589,91,0,9,0
218,15,1.4,90,0,10,0
219,19,1.105263157894737,92,0,8,0
220,18,1.1666666666666667,90,0,10,0
221,15,1.4,94,0,6,0
222,17,1.2352941176470589,93,0,7,0
223,14,1.5,87,0,13,0
224,18,1.1666666666666667,94,0,6,0
225,19,1.105263157894737,88,0,12,0
226,15,1.4,85,0,15,0
227,19,1.105263157894737,89,0,11,0
228,19,1.105263157894737,95,0,5,0
229,16,1.3125,90,0,10,0
230,16,1.3125,92,0,8,0
231,14,1.5,92,0,8,0
232,16,1.3125,83,0,17,0
233,17,1.2352941176470589,88,0,12,0
234,16,1.3125,93,0,7,0
235,16,1.3125,92,0,8,0
236,18,1.1666666666666667,94,0,6,0
237,15,1.4,86,0,14,0
238,18,1.1666666666666667,91,0,9,0
239,16,1.3125,83,0,17,0
240,13,1.6153846153846154,86,0,14,0
241,18,1.1666666666666667,87,0,13,0
242,16,1.3125,88,0,12,0
243,19,1.105263157894737,96,0,4,0
244,15,1.4,85,0,15,0
245,14,1.5,90,0,10,0
246,15,1.4,88,0,12,0
247,19,1.105263157894737,90,0,10,0
248,17,1.2352941176470589,86,0,14,0
249,17,1.2352941176470589,90,0,10,0
250,17,1.2352941176470589,91,0,9,0
251,18,1.1666666666666667,93,0,7,0
252,14,1.5,90,0,10,0
253,14,1.5,89,0,11,0
254,18,1.1666666666666667,94,0,6,0
255,16,1.3125,93,0,7,0
256,19,1.105263157894737,94,0,6,0
257,14,1.5,86,0,14,0
258,19,1.105263157894737,91,0,9,0
259,16,1.3125,88,0,12,0
260,18,1.1666666666666667,89,0,11,0
261,17,1.2352941176470589,93,0,7,0
262,19,1.105263157894737,93,0,7,0
263,13,1.6153846153846154,91,0,9,0
264,17,1.2352941176470589,90,0,10,0
265,19,1.105263157894737,92,0,8,0
266,17,1.2352941176470589,93,0,7,0
267,17,1.2352941176470589,92,0,8,0
268,17,1.2352941176470589,88,0,12,0
269,15,1.4,88,0,12,0
270,18,1.1666666666666667,88,0,12,0
271,18,1.1666666666666667,91,0,9,0
272,17,1.2352941176470589,91,0,9,0
273,16,1.3125,91,0,9,0
274,9,2.3333333333333335,84,0,16,0
275,16,1.3125,91,0,9,0
276,17,1.2352941176470589,92,0,8,0
277,16,1.3125,91,0,9,0
278,18,1.1666666666666667,90,0,10,0
279,16,1.3125,90,0,10,0
280,17,1.2352941176470589,87,0,13,0
281,15,1.4,85,0,15,0
282,16,1.3125,87,0,13,0
283,17,1.2352941176470589,92,0,8,0
284,12,1.75,90,0,10,0
285,14,1.5,85,0,15,0
286,14,1.5,89,0,11,0
287,18,1.1666666666666667,92,0,8,0
288,15,1.4,86,0,14,0
289,19,1.105263157894737,93,0,7,0
290,15,1.4,89,0,11,0
291,18,1.1666666666666667,92,0,8,0
292,14,1.5,89,0,11,0
293,18,1.1666666666666667,93,0,7,0
294,19,1.105263157894737,92,0,8,0
295,16,1.3125,89,0,11,0
296,18,1.1666666666666667,91,0,9,0
297,17,1.2352941176470589,91,0,9,0
298,21,1.0,93,0,7,0
299,17,1.2352941176470589,93,0,7,0
300,19,1.105263157894737,94,0,6,0
301,16,1.3125,83,0,17,0
302,19,1.105263157894737,86,0,14,0
303,20,1.05,92,0,8,0
304,13,1.6153846153846154,86,0,14,0
305,16,1.3125,88,0,12,0
306,19,1.105263157894737,93,0,7,0
307,15,1.4,87,0,13,0
308,19,1.105263157894737,92,0,8,0
309,18,1.1666666666666667,92,0,8,0
310,19,1.105263157894737,92,0,8,0
311,17,1.2352941176470589,87,0,13,0
312,17,1.2352941176470589,86,0,14,0
313,18,1.1666666666666667,92,0,8,0
314,16,1.3125,88,0,12,0
315,17,1.2352941176470589,91,0,9,0
316,17,1.2352941176470589,93,0,7,0
317,16,1.3125,89,0,11,0
318,15,1.4,87,0,13,0
319,15,1.4,87,0,13,0
320,20,1.05,97,0,3,0
321,19,1.105263157894737,96,0,4,0
322,17,1.2352941176470589,92,0,8,0
323,16,1.3125,93,0,7,0
324,15,1.4,88,0,12,0
325,16,1.3125,91,0,9,0
326,15,1.4,89,0,11,0
327,19,1.105263157894737,97,0,3,0
328,16,1.3125,90,0,10,0
329,19,1.105263157894737,92,0,8,0
330,11,1.9090909090909092,87,0,13,0
331,17,1.2352941176470589,89,0,11,0
332,15,1.4,88,0,12,0
333,17,1.2352941176470589,91,0,9,0
334,15,1.4,88,0,12,0
335,20,1.05,94,0,6,0
336,17,1.2352941176470589,87,0,13,0
337,17,1.2352941176470589,91,0,9,0
338,16,1.3125,88,0,12,0
339,15,1.4,90,0,10,0
340,16,1.3125,87,0,13,0
341,17,1.2352941176470589,93,0,7,0
342,18,1.1666666666666667,86,0,14,0
343,13,1.6153846153846154,86,0,14,0
344,14,1.5,85,0,15,0
345,18,1.1666666666666667,91,0,9,0
346,13,1.6153846153846154,89,0,11,0
347,14,1.5,91,0,9,0
348,16,1.3125,95,0,5,0
349,11,1.9090909090909092,81,0,19,0
350,18,1.1666666666666667,89,0,11,0
351,20,1.05,89,0,11,0
352,17,1.2352941176470589,94,0,6,0
353,17,1.2352941176470589,88,0,12,0
354,18,1.1666666666666667,90,0,10,0
355,19,1.105263157894737,93,0,7,0
356,20,1.05,96,0,4,0
357,14,1.5,89,0,11,0
358,16,1.3125,88,0,12,0
359,13,1.6153846153846154,90,0,10,0
360,14,1.5,87,0,13,0
361,18,1.1666666666666667,92,0,8,0
362,16,1.3125,92,0,8,0
363,17,1.2352941176470589,88,0,12,0
364,15,1.4,93,0,7,0
365,14,1.5,90,0,10,0
366,16,1.3125,90,0,10,0
367,18,1.1666666666666667,89,0,11,0
368,13,1.6153846153846154,88,0,12,0
369,18,1.1666666666666667,89,0,11,0
370,18,1.1666666666666667,86,0,14,0
371,17,1.2352941176470589,92,0,8,0
372,17,1.2352941176470589,88,0,12,0
373,13,1.6153846153846154,86,0,14,0
374,17,1.2352941176470589,86,0,14,0
375,15,1.4,87,0,13,0
376,16,1.3125,91,0,9,0
377,18,1.1666666666666667,93,0,7,0
378,18,1.1666666666666667,88,0,12,0
379,19,1.105263157894737,93,0,7,0
380,17,1.2352941176470589,85,0,15,0
381,19,1.105263157894737,87,0,13,0
382,17,1.2352941176470589,92,0,8,0
383,16,1.3125,92,0,8,0
384,16,1.3125,91,0,9,0
385,18,1.1666666666666667,93,0,7,0
386,16,1.3125,88,0,12,0
387,19,1.105263157894737,93,0,7,0
388,12,1.75,87,0,13,0
389,19,1.105263157894737,94,0,6,0
390,15,1.4,90,0,10,0
391,16,1.3125,90,0,10,0
392,20,1.05,93,0,7,0
393,16,1.3125,91,0,9,0
394,15,1.4,87,0,13,0
