iteration,temperature,dsp,bram,lut,ff,violation
0,50.0,4272,6590,3527083,4302382,True
1,49.75,1505,3593,1925270,2350471,True
2,49.50125,4505,7291,8007623,9633916,True
3,49.25374375,1908,4124,3850678,4717005,True
4,49.007475031249996,2440,4933,5912489,7016627,True
5,48.762437656093745,14823,17595,10552987,12292853,True
6,48.51862546781327,6167,9156,4625924,5672809,True
7,48.27603234047421,6121,10137,13700927,16338273,True
8,48.034652178771836,1252,3994,3440414,4160142,True
9,47.794478917877974,8558,12024,9943994,11937625,True
10,47.555506523288585,5290,7609,11405709,13278057,True
11,47.317728990672144,3858,6561,3338137,4094231,True
12,47.08114034571879,6330,8480,5543429,6634075,True
13,46.84573464399019,1077,3059,1908821,2332762,True
14,46.61150597077024,6446,9409,5634340,6889950,True
15,46.37844844091639,1777,3876,1896796,2303342,True
16,46.14655619871181,1984,4500,2300998,2841023,True
17,45.91582341771825,4766,8276,9623835,11514449,True
18,45.68624430062966,1552,3475,2154989,2642958,True
19,45.45781307912651,1739,5293,4484471,5551596,True
20,45.23052401373088,23111,25983,12533539,14740948,True
21,45.004371393662225,2220,4961,2768303,3350114,True
22,44.779349536693914,2642,4637,4945950,5922343,True
23,44.555452789010445,3602,6461,2611552,3170785,True
24,44.33267552506539,3399,5549,7238991,8747556,True
25,44.111012147440064,6116,9272,3801722,4740510,True
26,43.89045708670287,10653,13089,4414853,5246537,True
27,43.671004801269355,1974,5253,3774083,4661430,True
28,43.452649777263005,2466,4402,2295850,2792041,True
29,43.23538652837669,1308,3975,2274110,2822339,True
30,43.0192095957348,20435,24036,6585616,7756004,True
31,42.804113547756124,4389,7853,9059206,10969551,True
32,42.590092980017346,2384,4766,6810124,8263709,True
33,42.37714251511726,2726,5062,1859454,2261112,True
34,42.16525680254167,6176,9321,3583906,4357373,True
35,41.95443051852896,2552,5092,3329522,4038134,True
36,41.74465836593632,4070,7074,8580120,10041844,True
37,41.53593507410663,1544,4044,2800465,3470518,True
38,41.3282553987361,2026,4375,2541288,3158561,True
39,41.12161412174242,1124,3361,1266424,1538629,True
40,40.91600605113371,8960,12292,6237767,7523911,True
41,40.71142602087804,14962,18274,15304988,17999147,True
42,40.50786889077364,5878,10750,12036869,14191678,True
43,40.305329546319776,1266,3748,2045514,2477041,True
44,40.10380289858818,8559,11059,11868664,13767800,True
45,39.90328388409524,1842,4322,2260207,2782523,True
46,39.70376746467476,1913,4533,2295425,2818666,True
47,39.505248627351385,11349,14033,11642514,13695550,True
48,39.30772238421463,1381,3356,1983683,2359920,True
49,39.11118377229356,3110,5395,2238143,2767512,True
50,38.91562785343209,58295,62731,20848289,24848605,True
51,38.721049714164934,1306,3499,1623796,1969899,True
52,38.52744446559411,3204,5660,2189451,2624537,True
53,38.334807243266134,561,2997,1808928,2220835,True
54,38.1431332070498,20752,23356,10411409,12312410,True
55,37.95241754101455,1501,4362,2965429,3607307,True
56,37.76265545330948,1101,3486,2751027,3398091,True
57,37.57384217604293,44730,48997,23993257,28181516,True
58,37.385972965162715,6756,9451,5718183,6982998,True
59,37.1990431003369,2226,4912,1983244,2386040,True
60,37.01304788483522,1399,3732,1515925,1800448,True
61,36.82798264541104,5940,8810,12021134,13982973,True
62,36.643842732183984,1911,4925,5067354,6230706,True
63,36.460623518523064,1610,4064,1444766,1756079,True
64,36.27832040093045,1732,4331,3568438,4394400,True
65,36.096928798925795,3473,6703,7493341,9119788,True
66,35.91644415493116,843,2989,1522325,1896352,True
67,35.73686193415651,6775,10600,9404253,11438206,True
68,35.55817762448572,3354,6444,7135248,8607032,True
69,35.38038673636329,390,1941,706080,875125,True
70,35.20348480268147,5390,7954,3969231,4836570,True
71,35.027467378668064,1190,3258,1663101,2066920,True
72,34.85233004177472,10188,13397,4843160,5876885,True
73,34.678068391565844,3522,6030,3869953,4738842,True
74,34.50467804960802,37429,40795,11865761,14266152,True
75,34.33215465935998,7372,10082,3478728,4214184,True
76,34.16049388606318,4028,6868,2135865,2568798,True
77,33.989691416632866,741,3513,2007384,2469457,True
78,33.8197429595497,24571,28307,9029510,10695644,True
79,33.65064424475195,993,3368,1993272,2400021,True
80,33.482391023528194,1392,3842,1370287,1676942,True
81,33.31497906841055,2638,5899,3949310,4775637,True
82,33.1484041730685,37553,40185,10332898,12029494,True
83,32.982662152203154,3012,5240,7193019,8669544,True
84,32.81774884144214,1326,3555,2720454,3232408,True
85,32.653660097234926,22123,25380,8988549,10690626,True
86,32.49039179674875,2708,5541,6520860,7855066,True
87,32.32793983776501,2355,4902,4433911,5269584,True
88,32.16630013857618,1992,4449,3243324,3927277,True
89,32.005468637883304,2015,4778,5323528,6449398,True
90,31.845441294693888,354,2273,1086366,1315463,True
91,31.686214088220417,1031,3920,2775901,3446830,True
92,31.527783017779313,4756,8429,11125978,13063714,True
93,31.370144102690418,13556,16666,12158033,14219086,True
94,31.213293382176964,7017,9713,14138203,16346621,True
95,31.057226915266078,2202,4322,1767994,2135131,True
96,30.90194078068975,992,3473,3079435,3730671,True
97,30.7474310767863,4448,8133,5459366,6529056,True
98,30.593693921402366,1233,3858,2645815,3136557,True
99,30.440725451795355,14309,17065,12522742,14495039,True
100,30.288521824536378,2362,4315,2249008,2663752,True
101,30.137079215413696,2858,4886,2007112,2469081,True
102,29.986393819336627,2169,4330,1769179,2145607,True
103,29.836461850239942,1201,4609,3628941,4494406,True
104,29.687279540988744,1942,4220,3656577,4317091,True
105,29.5388431432838,1410,3183,2131075,2567110,True
106,29.39114892756738,3848,6261,2522884,3154344,True
107,29.244193182929543,977,2815,1303126,1593504,True
108,29.097972217014895,494,2328,832526,1032719,True
109,28.95248235592982,44211,47368,16419690,19310398,True
110,28.807719944150172,2772,5331,6723072,7945102,True
111,28.66368134442942,730,3052,1836087,2234321,True
112,28.520362937707272,4054,6476,4911842,5836306,True
113,28.377761123018736,6482,8576,5917375,7116090,True
114,28.235872317403643,1858,5048,5281082,6415242,True
115,28.094692955816626,787,3322,1291214,1574051,True
116,27.95421949103754,14388,16742,5017102,5922209,True
117,27.814448393582353,358,2452,1007577,1232081,True
118,27.67537615161444,5135,8529,6473228,7927302,True
119,27.536999270856366,652,2994,1807261,2204391,True
120,27.399314274502085,4728,7705,7669707,8981542,True
121,27.262317703129575,862,2791,904019,1121223,True
