iteration,temperature,dsp,bram,lut,ff,violation
0,20.0,1104,2070,1213231,1527203,True
1,19.9,2034,3423,3233541,4120783,True
2,19.8005,1348,3164,1701116,2068014,True
3,19.7014975,258,1847,784022,981420,True
4,19.602990012499998,10261,11844,3273382,4075651,True
5,19.5049750624375,13793,16625,11094099,13961378,True
6,19.40745018712531,564,2192,944214,1206794,True
7,19.31041293618968,2167,3973,1933066,2490073,True
8,19.213860871508732,33996,36118,40280283,46584987,True
9,19.117791567151187,6073,8776,3122296,3815877,True
10,19.022202609315432,1569,2958,759920,915446,True
11,18.927091596268856,42674,44664,13189755,15275255,True
12,18.83245613828751,24732,26371,7124902,8518027,True
13,18.738293857596073,6612,8171,3638164,4598178,True
14,18.644602388308094,1336,2643,2387621,2911236,True
15,18.551379376366555,750,2318,1367452,1726450,True
16,18.45862247948472,4390,5748,3441555,4016208,True
17,18.366329367087296,1490,2588,3021555,3734501,True
18,18.27449772025186,7313,9087,5279999,6551480,True
19,18.1831252316506,5773,7196,2177674,2725829,True
20,18.092209605492346,734,2367,1455702,1836095,True
21,18.001748557464886,4062,5506,4626967,5409218,True
22,17.91173981467756,13642,15228,12343401,15657784,True
23,17.82218111560417,4282,5444,2979971,3630944,True
24,17.73307021002615,9972,11364,3272394,3941405,True
25,17.644404858976017,5240,6464,3017910,3746899,True
26,17.556182834681138,155340,158086,32442065,37655734,True
27,17.468401920507734,74262,75802,12282437,14266490,True
28,17.381059910905197,6806,8507,3064257,3861869,True
29,17.29415461135067,1437,2415,2945275,3692663,True
30,17.207683838293917,8537,10785,6527150,7885608,True
31,17.121645419102446,38363,39602,9692157,12251679,True
32,17.036037192006933,4542,6839,8584917,10559455,True
33,16.9508570060469,13584,15622,9561797,11547317,True
34,16.866102721016663,2131,4740,3672367,4458470,True
35,16.781772207411578,18943,20671,6905069,9017930,True
36,16.69786334637452,4983,7049,2312706,2957140,True
37,16.614374029642647,103013,105942,26495183,31725855,True
38,16.531302159494434,21969,23430,5701246,6967212,True
39,16.44864564869696,3444,4417,2805043,3523444,True
40,16.366402420453475,1589,2880,3097018,3850751,True
41,16.284570408351208,782,2142,1716820,2090024,True
42,16.203147556309453,1535,2633,1434032,1789783,True
43,16.122131818527905,2676,4944,2992378,3771378,True
44,16.041521159435266,1165,3165,3232210,4069512,True
45,15.96131355363809,2410,4599,4641560,6049525,True
46,15.8815069858699,2798,4609,3469921,4283999,True
47,15.802099450940549,175,1086,298695,390561,True
48,15.723088953685846,38045,40053,6727752,7972523,True
49,15.644473508917416,5744,8116,7078559,9005226,True
50,15.56625114137283,2747,4220,4461018,5709618,True
51,15.488419885665966,2784,5281,1867190,2385874,True
52,15.410977786237636,3104,4510,5032589,6246228,True
53,15.333922897306447,1324,3036,1946121,2490859,True
54,15.257253282819915,5943,7561,3568150,4499394,True
55,15.180967016405816,1984,3306,3439791,4183817,True
56,15.105062181323786,93990,96340,18688256,22651980,True
57,15.029536870417168,1836,3440,1634166,2051278,True
59,14.879617240134756,592,1506,558970,719372,True
60,14.805219153934082,4468,5778,6232645,7227031,True
61,14.731193058164411,10992,15033,19502428,23998822,True
62,14.65753709287359,1160,2058,1007912,1280127,True
63,14.58424940740922,40301,42057,8073505,9422160,True
64,14.511328160372175,5369,6809,3426841,4205983,True
65,14.438771519570315,1589,3350,1771119,2137225,True
66,14.366577661972464,19584,21202,5553951,6756854,True
67,14.294744773662602,24881,26689,8013010,9526650,True
68,14.223271049794288,1254,2404,1667806,2120653,True
69,14.152154694545317,3929,5866,4259639,5201470,True
70,14.081393921072591,9714,11046,6837822,8731600,True
71,14.010986951467228,60100,62950,26343409,32785893,True
72,13.940932016709892,7256,9744,10114267,12907073,True
73,13.871227356626342,4939,7167,10474829,13226242,True
74,13.80187121984321,522,1482,993402,1214664,True
75,13.732861863743995,1868,4208,4751168,5787123,True
76,13.664197554425275,16749,18908,18619484,23523890,True
77,13.595876566653148,74788,77190,12710041,14796210,True
78,13.527897183819881,10090,12472,15651020,18502896,True
79,13.460257697900781,15842,17604,4172976,5011835,True
80,13.392956409411276,524,1860,451145,583348,True
81,13.32599162736422,2157,3445,2166554,2753842,True
82,13.259361669227399,925,2333,1949247,2415469,True
83,13.193064860881261,3371,4676,2481998,3093474,True
84,13.127099536576855,19248,20878,6412022,8249542,True
85,13.061464038893972,5672,7004,2466650,3068178,True
86,12.9961567186995,10165,12881,16960333,20886341,True
87,12.931175935106003,1337,2928,3484346,4453318,True
88,12.866520055430472,5858,6930,3604667,4435825,True
89,12.80218745515332,10938,12878,6300174,7752953,True
90,12.738176517877553,12084,13702,2749966,3250469,True
91,12.674485635288166,26528,28116,9256797,11647022,True
92,12.611113207111725,19652,22201,23122224,26841047,True
93,12.548057641076166,907,2077,912841,1129680,True
94,12.485317352870785,1825,3035,2902503,3545837,True
95,12.42289076610643,40809,42474,8194700,9514226,True
96,12.360776312275899,1416,2872,1197496,1510913,True
97,12.29897243071452,8356,9656,4076980,5044923,True
98,12.237477568560946,1532,2166,667577,863416,True
99,12.17629018071814,7713,10312,7334744,9355936,True
100,12.11540872981455,235,1159,358169,452827,True
101,12.054831686165478,8620,10161,3925307,4740929,True
102,11.994557527734651,15182,16594,5949332,7177478,True
103,11.934584740095978,11800,15052,10573386,13754774,True
104,11.874911816395498,1852,2864,1881703,2390276,True
105,11.81553725731352,5293,7154,5599903,6722351,True
106,11.756459571026953,974,2044,1763981,2225563,True
107,11.697677273171818,32438,35282,21696773,26907843,True
108,11.63918888680596,28780,30526,6554759,7849764,True
109,11.58099294237193,5300,8016,9566890,11747910,True
110,11.52308797766007,1624,2708,1126384,1416695,True
111,11.46547253777177,2189,3625,2747659,3271407,True
112,11.408145175082911,10393,12308,5133451,6602469,True
