,model_name,optimizer,temperature,trial,error,runtime_seconds
3,deep_narrow,Simulated Annealing,10.0,1,,9.121522188186646
4,deep_narrow,Simulated Annealing,10.0,2,,0.4043295383453369
5,deep_narrow,Simulated Annealing,10.0,3,,3.938394069671631
6,deep_narrow,Simulated Annealing,20.0,1,,7.57619833946228
7,deep_narrow,Simulated Annealing,20.0,2,,4.528960227966309
8,deep_narrow,Simulated Annealing,20.0,3,,5.5119946002960205
9,deep_narrow,Simulated Annealing,50.0,1,,0.687753438949585
10,deep_narrow,Simulated Annealing,50.0,2,,4.256345987319946
11,deep_narrow,Simulated Annealing,50.0,3,,0.9524412155151368
63,dense_seg,Simulated Annealing,10.0,1,,0.6230332851409912
64,dense_seg,Simulated Annealing,10.0,2,,0.4790248870849609
65,dense_seg,Simulated Annealing,10.0,3,,2.7022438049316406
66,dense_seg,Simulated Annealing,20.0,1,,2.3903512954711914
67,dense_seg,Simulated Annealing,20.0,2,,1.140878438949585
68,dense_seg,Simulated Annealing,20.0,3,,0.2532052993774414
69,dense_seg,Simulated Annealing,50.0,1,,3.0831539630889893
70,dense_seg,Simulated Annealing,50.0,2,,2.2483179569244385
71,dense_seg,Simulated Annealing,50.0,3,,0.933479070663452
39,mobile_style,Simulated Annealing,10.0,1,,0.4180080890655517
40,mobile_style,Simulated Annealing,10.0,2,,3.4979138374328613
41,mobile_style,Simulated Annealing,10.0,3,,0.4155395030975342
42,mobile_style,Simulated Annealing,20.0,1,,8.89389443397522
43,mobile_style,Simulated Annealing,20.0,2,,1.9768097400665283
44,mobile_style,Simulated Annealing,20.0,3,,0.2600331306457519
45,mobile_style,Simulated Annealing,50.0,1,,4.832122564315796
46,mobile_style,Simulated Annealing,50.0,2,,1.6698968410491943
47,mobile_style,Simulated Annealing,50.0,3,,1.943798780441284
51,segmentation_encoder,Simulated Annealing,10.0,1,,0.5408289432525635
52,segmentation_encoder,Simulated Annealing,10.0,2,,0.0216093063354492
53,segmentation_encoder,Simulated Annealing,10.0,3,,0.2532248497009277
54,segmentation_encoder,Simulated Annealing,20.0,1,,2.6791436672210693
55,segmentation_encoder,Simulated Annealing,20.0,2,,6.040815353393555
56,segmentation_encoder,Simulated Annealing,20.0,3,,0.6204409599304199
57,segmentation_encoder,Simulated Annealing,50.0,1,,0.3422276973724365
58,segmentation_encoder,Simulated Annealing,50.0,2,,2.317699909210205
59,segmentation_encoder,Simulated Annealing,50.0,3,,1.10280442237854
