optimizer,Avg_DSP,Max_DSP,Avg_BRAM,Max_BRAM,Avg_LUT,Max_LUT,Avg_FF,Max_FF,Avg_Max_Partition_Util,Max_Partition_Util
Rule-Based,1338.8,5544,17424.8,134628,473269.8,1658356,581474.2,2022246,0.0,0.0
Simulated Annealing,213.91,801,1861.26,5164,239374.85,1008041,297015.63,1205161,0.0,0.0
