model_name,domain,trial,temperature,optimizer,seed,runtime_seconds,final_throughput,success,initial_feasible,feasible,total_partitions,avg_partition_size,max_partition_resource_util,total_folding_moves,total_partition_moves,partition_moves_accepted,folding_moves_accepted,best_iteration_index,final_DSP,final_BRAM,final_LUT,final_FF,error
deep_narrow,image_classification,1,NA,Rule-Based,2381635940,27.204543113708496,3.233605886976832e-09,True,False,False,34,1.0,0.0,NA,NA,NA,NA,NA,15,134628,98383,130575,
deep_narrow,image_classification,2,NA,Rule-Based,2381635941,26.961402654647827,3.233605886976832e-09,True,False,False,34,1.0,0.0,NA,NA,NA,NA,NA,15,134628,98383,130575,
deep_narrow,image_classification,3,NA,Rule-Based,2381635942,27.049798727035522,3.233605886976832e-09,True,False,False,34,1.0,0.0,NA,NA,NA,NA,NA,15,134628,98383,130575,
deep_narrow,image_classification,1,10.0,Simulated Annealing,2381636000,9.121522188186646,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
deep_narrow,image_classification,2,10.0,Simulated Annealing,2381636001,0.4043295383453369,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
deep_narrow,image_classification,3,10.0,Simulated Annealing,2381636002,3.938394069671631,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
deep_narrow,image_classification,1,20.0,Simulated Annealing,2381636030,7.57619833946228,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
deep_narrow,image_classification,2,20.0,Simulated Annealing,2381636031,4.528960227966309,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
deep_narrow,image_classification,3,20.0,Simulated Annealing,2381636032,5.5119946002960205,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
deep_narrow,image_classification,1,50.0,Simulated Annealing,2381636120,0.687753438949585,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
deep_narrow,image_classification,2,50.0,Simulated Annealing,2381636121,4.256345987319946,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
deep_narrow,image_classification,3,50.0,Simulated Annealing,2381636122,0.9524412155151367,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
compact_net,image_classification,1,NA,Rule-Based,4045155419,57.79117488861084,0.0010217922747395069,True,True,True,2,8.0,0.0,NA,NA,NA,NA,NA,584,1082,239926,309180,
compact_net,image_classification,2,NA,Rule-Based,4045155420,57.98611640930176,0.0010217922747395069,True,True,True,2,8.0,0.0,NA,NA,NA,NA,NA,584,1082,239926,309180,
compact_net,image_classification,3,NA,Rule-Based,4045155421,57.090312004089355,0.0010217922747395069,True,True,True,2,8.0,0.0,NA,NA,NA,NA,NA,584,1082,239926,309180,
compact_net,image_classification,1,10.0,Simulated Annealing,4045155479,32.48078775405884,4.8564488359152845e-05,True,True,True,4,4.0,0.0,165432,18368,203,1797,178,220,668,186643,231414,
compact_net,image_classification,2,10.0,Simulated Annealing,4045155480,39.25310921669006,0.0001341137861595914,True,True,True,7,2.2857142857142856,0.0,165310,18490,123,1277,415,226,734,278062,364926,
compact_net,image_classification,3,10.0,Simulated Annealing,4045155481,38.118945837020874,4.118613176452611e-05,True,True,True,4,4.0,0.0,165621,18179,160,1540,980,173,605,130808,170940,
compact_net,image_classification,1,20.0,Simulated Annealing,4045155509,35.2390501499176,5.789555728309465e-05,True,True,True,6,2.6666666666666665,0.0,177862,19738,116,1184,260,275,747,238831,301761,
compact_net,image_classification,2,20.0,Simulated Annealing,4045155510,36.273465633392334,0.00012995531811274989,True,True,True,2,8.0,0.0,177794,19806,139,1361,607,211,649,142381,183931,
compact_net,image_classification,3,20.0,Simulated Annealing,4045155511,36.61441111564636,5.429739443093344e-05,True,True,True,5,3.2,0.0,177935,19665,136,1364,962,383,989,244991,309355,
compact_net,image_classification,1,50.0,Simulated Annealing,4045155599,39.21238923072815,5.3852659661692206e-05,True,True,True,3,5.333333333333333,0.0,194204,21696,159,1741,2039,154,607,129884,166085,
compact_net,image_classification,2,50.0,Simulated Annealing,4045155600,44.89167785644531,8.710744485554318e-05,True,True,True,7,2.2857142857142856,0.0,194275,21625,154,1346,1608,459,1105,387306,488943,
compact_net,image_classification,3,50.0,Simulated Annealing,4045155601,51.353731870651245,0.000117020140628954,True,True,True,4,4.0,0.0,194279,21621,113,1087,850,278,904,321296,394912,
detection_backbone,object_detection,1,NA,Rule-Based,23574746,16.33290433883667,4.97939830889116e-09,True,False,False,21,1.0,0.0,NA,NA,NA,NA,NA,9,5164,59066,77176,
detection_backbone,object_detection,2,NA,Rule-Based,23574747,15.704665660858154,4.97939830889116e-09,True,False,False,21,1.0,0.0,NA,NA,NA,NA,NA,9,5164,59066,77176,
