iteration,partition_count,avg_partition_size,folding_moves_attempted,folding_moves_accepted,partition_moves_attempted,partition_moves_accepted
0,5,1.0,95,95,5,5
1,3,1.6666666666666667,86,0,14,0
2,1,5.0,87,0,13,0
3,4,1.25,89,0,11,0
4,1,5.0,90,90,10,10
5,2,2.5,84,0,16,0
6,1,5.0,92,92,8,8
7,2,2.5,91,0,9,0
8,2,2.5,91,91,9,9
9,2,2.5,91,0,9,0
10,2,2.5,95,95,5,5
11,2,2.5,89,89,11,11
12,3,1.6666666666666667,93,0,7,0
13,1,5.0,91,0,9,0
14,2,2.5,89,0,11,0
15,4,1.25,89,0,11,0
16,1,5.0,87,0,13,0
17,1,5.0,88,0,12,0
18,3,1.6666666666666667,88,0,12,0
19,2,2.5,89,0,11,0
20,2,2.5,92,0,8,0
21,2,2.5,91,0,9,0
22,1,5.0,90,0,10,0
23,1,5.0,86,0,14,0
24,2,2.5,88,0,12,0
25,3,1.6666666666666667,89,0,11,0
26,2,2.5,88,88,12,12
27,2,2.5,86,0,14,0
28,5,1.0,87,0,13,0
29,1,5.0,87,0,13,0
30,4,1.25,88,88,12,12
31,2,2.5,90,0,10,0
32,3,1.6666666666666667,93,0,7,0
33,1,5.0,95,0,5,0
34,4,1.25,91,0,9,0
35,1,5.0,91,0,9,0
36,1,5.0,86,86,14,14
37,1,5.0,94,0,6,0
38,2,2.5,91,0,9,0
39,2,2.5,88,0,12,0
40,1,5.0,91,0,9,0
41,1,5.0,94,94,6,6
42,1,5.0,94,0,6,0
43,4,1.25,88,88,12,12
44,1,5.0,85,0,15,0
45,3,1.6666666666666667,93,0,7,0
46,2,2.5,91,0,9,0
47,4,1.25,93,0,7,0
48,1,5.0,92,0,8,0
49,1,5.0,92,0,8,0
50,3,1.6666666666666667,92,92,8,8
51,4,1.25,90,0,10,0
52,1,5.0,90,0,10,0
53,3,1.6666666666666667,93,0,7,0
54,1,5.0,91,0,9,0
55,4,1.25,91,0,9,0
56,2,2.5,87,0,13,0
57,1,5.0,80,0,20,0
58,3,1.6666666666666667,92,92,8,8
59,2,2.5,88,0,12,0
60,2,2.5,87,87,13,13
61,1,5.0,95,0,5,0
62,1,5.0,91,0,9,0
63,4,1.25,92,0,8,0
64,3,1.6666666666666667,89,0,11,0
65,1,5.0,86,0,14,0
66,2,2.5,90,0,10,0
67,2,2.5,90,0,10,0
68,1,5.0,87,0,13,0
69,2,2.5,91,0,9,0
70,1,5.0,91,0,9,0
71,1,5.0,90,0,10,0
72,3,1.6666666666666667,90,0,10,0
73,3,1.6666666666666667,91,0,9,0
74,3,1.6666666666666667,88,0,12,0
75,2,2.5,94,94,6,6
76,3,1.6666666666666667,90,0,10,0
77,2,2.5,87,0,13,0
78,2,2.5,91,0,9,0
79,3,1.6666666666666667,90,0,10,0
80,4,1.25,88,88,12,12
81,3,1.6666666666666667,82,0,18,0
82,4,1.25,89,0,11,0
83,1,5.0,89,89,11,11
84,1,5.0,91,0,9,0
85,2,2.5,90,0,10,0
86,1,5.0,92,0,8,0
87,2,2.5,91,0,9,0
88,2,2.5,88,0,12,0
89,3,1.6666666666666667,91,0,9,0
90,2,2.5,89,0,11,0
91,1,5.0,94,0,6,0
92,2,2.5,87,0,13,0
93,2,2.5,92,0,8,0
94,3,1.6666666666666667,89,0,11,0
95,1,5.0,92,0,8,0
96,3,1.6666666666666667,91,0,9,0
97,2,2.5,95,95,5,5
98,1,5.0,92,0,8,0
99,5,1.0,86,86,14,14
100,2,2.5,90,0,10,0
101,4,1.25,93,0,7,0
102,4,1.25,94,0,6,0
103,1,5.0,90,0,10,0
104,5,1.0,91,0,9,0
105,5,1.0,90,0,10,0
106,2,2.5,92,0,8,0
107,4,1.25,94,0,6,0
108,3,1.6666666666666667,86,86,14,14
109,3,1.6666666666666667,93,0,7,0
110,4,1.25,92,0,8,0
111,2,2.5,89,0,11,0
112,1,5.0,92,0,8,0
113,1,5.0,84,0,16,0
114,1,5.0,90,0,10,0
115,3,1.6666666666666667,89,0,11,0
116,3,1.6666666666666667,98,0,2,0
117,1,5.0,93,0,7,0
118,3,1.6666666666666667,89,0,11,0
119,1,5.0,86,0,14,0
120,2,2.5,89,0,11,0
121,2,2.5,90,0,10,0
122,1,5.0,91,0,9,0
123,2,2.5,92,0,8,0
124,2,2.5,90,90,10,10
125,3,1.6666666666666667,88,0,12,0
126,1,5.0,93,0,7,0
127,4,1.25,89,0,11,0
128,2,2.5,94,0,6,0
129,2,2.5,89,0,11,0
130,4,1.25,91,0,9,0
131,4,1.25,91,0,9,0
132,1,5.0,88,0,12,0
133,3,1.6666666666666667,88,88,12,12
134,2,2.5,89,89,11,11
135,3,1.6666666666666667,91,0,9,0
136,4,1.25,91,0,9,0
137,1,5.0,86,0,14,0
138,2,2.5,89,0,11,0
139,1,5.0,91,0,9,0
140,1,5.0,88,0,12,0
141,3,1.6666666666666667,92,0,8,0
142,3,1.6666666666666667,78,0,22,0
143,2,2.5,88,0,12,0
144,2,2.5,88,88,12,12
145,4,1.25,91,0,9,0
146,2,2.5,90,0,10,0
147,2,2.5,91,91,9,9
148,1,5.0,89,89,11,11
149,3,1.6666666666666667,93,0,7,0
150,2,2.5,86,0,14,0
151,4,1.25,94,0,6,0
152,2,2.5,91,0,9,0
153,2,2.5,89,0,11,0
154,1,5.0,95,0,5,0
155,2,2.5,91,0,9,0
156,2,2.5,92,0,8,0
157,2,2.5,88,88,12,12
158,1,5.0,93,0,7,0
159,2,2.5,94,0,6,0
160,1,5.0,93,0,7,0
161,1,5.0,96,96,4,4
162,1,5.0,90,0,10,0
163,2,2.5,84,0,16,0
164,2,2.5,98,98,2,2
165,2,2.5,90,0,10,0
166,2,2.5,89,0,11,0
167,3,1.6666666666666667,89,0,11,0
168,3,1.6666666666666667,90,0,10,0
169,1,5.0,92,0,8,0
170,1,5.0,93,93,7,7
171,1,5.0,89,0,11,0
172,2,2.5,93,0,7,0
173,4,1.25,85,0,15,0
174,2,2.5,92,0,8,0
175,1,5.0,85,0,15,0
176,1,5.0,94,0,6,0
177,1,5.0,89,0,11,0
178,3,1.6666666666666667,91,0,9,0
179,3,1.6666666666666667,90,90,10,10
180,2,2.5,90,0,10,0
181,1,5.0,89,0,11,0
182,2,2.5,94,0,6,0
183,4,1.25,86,0,14,0
184,1,5.0,92,0,8,0
185,1,5.0,91,0,9,0
186,1,5.0,95,0,5,0
187,1,5.0,88,0,12,0
188,2,2.5,89,89,11,11
189,1,5.0,86,0,14,0
190,4,1.25,89,0,11,0
191,1,5.0,93,0,7,0
192,1,5.0,91,0,9,0
193,1,5.0,91,0,9,0
194,1,5.0,92,0,8,0
195,5,1.0,88,0,12,0
196,1,5.0,92,0,8,0
197,1,5.0,97,0,3,0
198,2,2.5,90,0,10,0
199,1,5.0,83,83,17,17
200,1,5.0,95,0,5,0
201,1,5.0,87,0,13,0
202,2,2.5,95,0,5,0
203,3,1.6666666666666667,92,0,8,0
204,1,5.0,91,0,9,0
205,2,2.5,91,0,9,0
206,4,1.25,89,0,11,0
207,3,1.6666666666666667,92,92,8,8
208,2,2.5,94,0,6,0
209,2,2.5,88,0,12,0
210,2,2.5,88,0,12,0
211,2,2.5,90,0,10,0
212,4,1.25,94,0,6,0
213,1,5.0,97,0,3,0
214,1,5.0,91,91,9,9
215,1,5.0,88,0,12,0
216,2,2.5,89,0,11,0
217,2,2.5,91,0,9,0
218,2,2.5,92,0,8,0
219,2,2.5,91,0,9,0
220,3,1.6666666666666667,88,0,12,0
221,4,1.25,87,87,13,13
222,1,5.0,89,0,11,0
223,3,1.6666666666666667,94,0,6,0
224,2,2.5,93,0,7,0
225,3,1.6666666666666667,88,0,12,0
226,5,1.0,96,0,4,0
227,1,5.0,89,0,11,0
228,2,2.5,90,0,10,0
229,2,2.5,92,0,8,0
230,2,2.5,88,0,12,0
231,1,5.0,96,0,4,0
232,2,2.5,90,0,10,0
233,1,5.0,89,89,11,11
234,1,5.0,88,0,12,0
235,1,5.0,90,90,10,10
236,1,5.0,93,0,7,0
237,1,5.0,91,0,9,0
238,2,2.5,91,0,9,0
239,2,2.5,91,0,9,0
240,1,5.0,88,0,12,0
241,2,2.5,91,91,9,9
242,1,5.0,84,0,16,0
243,3,1.6666666666666667,90,0,10,0
244,1,5.0,85,0,15,0
245,1,5.0,92,0,8,0
246,1,5.0,86,0,14,0
247,1,5.0,87,0,13,0
248,3,1.6666666666666667,89,0,11,0
249,3,1.6666666666666667,95,0,5,0
250,1,5.0,84,0,16,0
251,3,1.6666666666666667,87,0,13,0
252,1,5.0,84,0,16,0
253,1,5.0,93,0,7,0
254,2,2.5,92,0,8,0
255,3,1.6666666666666667,93,0,7,0
256,1,5.0,94,0,6,0
257,1,5.0,92,0,8,0
258,1,5.0,94,0,6,0
259,3,1.6666666666666667,90,90,10,10
260,3,1.6666666666666667,91,0,9,0
261,2,2.5,90,0,10,0
262,2,2.5,89,89,11,11
263,4,1.25,87,0,13,0
264,2,2.5,91,0,9,0
265,1,5.0,84,0,16,0
266,3,1.6666666666666667,93,0,7,0
267,3,1.6666666666666667,87,0,13,0
268,2,2.5,93,0,7,0
269,3,1.6666666666666667,91,0,9,0
270,3,1.6666666666666667,91,0,9,0
271,1,5.0,91,0,9,0
272,1,5.0,97,0,3,0
273,2,2.5,96,0,4,0
274,3,1.6666666666666667,92,0,8,0
275,2,2.5,98,0,2,0
276,2,2.5,89,0,11,0
277,1,5.0,84,0,16,0
278,2,2.5,88,0,12,0
279,1,5.0,89,0,11,0
280,2,2.5,93,0,7,0
281,1,5.0,89,0,11,0
282,2,2.5,88,0,12,0
283,2,2.5,88,0,12,0
284,2,2.5,92,0,8,0
285,2,2.5,89,0,11,0
286,2,2.5,92,0,8,0
287,3,1.6666666666666667,88,0,12,0
288,1,5.0,92,92,8,8
289,3,1.6666666666666667,93,0,7,0
290,2,2.5,90,0,10,0
291,2,2.5,90,0,10,0
292,2,2.5,87,0,13,0
293,2,2.5,88,88,12,12
294,4,1.25,94,0,6,0
295,3,1.6666666666666667,93,0,7,0
296,1,5.0,88,0,12,0
297,3,1.6666666666666667,87,87,13,13
298,3,1.6666666666666667,95,0,5,0
299,1,5.0,93,0,7,0
300,1,5.0,96,0,4,0
301,2,2.5,90,0,10,0
302,4,1.25,88,88,12,12
303,2,2.5,90,0,10,0
304,1,5.0,85,0,15,0
305,2,2.5,91,0,9,0
306,1,5.0,87,0,13,0
307,2,2.5,87,0,13,0
308,2,2.5,91,0,9,0
309,4,1.25,84,0,16,0
310,2,2.5,88,88,12,12
311,3,1.6666666666666667,91,0,9,0
312,1,5.0,86,0,14,0
313,2,2.5,88,0,12,0
314,3,1.6666666666666667,90,0,10,0
315,2,2.5,88,0,12,0
316,1,5.0,84,0,16,0
317,3,1.6666666666666667,96,0,4,0
318,2,2.5,88,0,12,0
319,2,2.5,96,0,4,0
320,2,2.5,90,90,10,10
321,3,1.6666666666666667,91,0,9,0
322,5,1.0,90,90,10,10
323,2,2.5,89,89,11,11
324,3,1.6666666666666667,89,0,11,0
325,1,5.0,91,0,9,0
326,1,5.0,92,0,8,0
327,1,5.0,87,0,13,0
328,4,1.25,91,0,9,0
329,1,5.0,88,0,12,0
330,1,5.0,95,0,5,0
331,1,5.0,88,88,12,12
332,1,5.0,86,0,14,0
333,1,5.0,91,0,9,0
334,1,5.0,88,0,12,0
335,3,1.6666666666666667,87,0,13,0
336,3,1.6666666666666667,95,0,5,0
337,1,5.0,91,0,9,0
338,2,2.5,91,0,9,0
339,3,1.6666666666666667,90,0,10,0
340,1,5.0,91,0,9,0
341,1,5.0,91,0,9,0
342,2,2.5,95,0,5,0
343,2,2.5,95,95,5,5
344,1,5.0,92,0,8,0
345,1,5.0,92,0,8,0
346,2,2.5,93,0,7,0
347,4,1.25,90,0,10,0
348,1,5.0,91,0,9,0
349,2,2.5,92,0,8,0
350,2,2.5,93,0,7,0
351,2,2.5,88,0,12,0
352,2,2.5,92,0,8,0
353,1,5.0,94,0,6,0
354,3,1.6666666666666667,93,93,7,7
355,2,2.5,90,0,10,0
356,4,1.25,87,0,13,0
357,2,2.5,92,0,8,0
358,2,2.5,89,0,11,0
359,1,5.0,92,0,8,0
360,4,1.25,91,91,9,9
361,2,2.5,92,0,8,0
362,2,2.5,91,91,9,9
363,2,2.5,90,0,10,0
364,2,2.5,86,0,14,0
365,4,1.25,92,0,8,0
366,2,2.5,94,0,6,0
367,2,2.5,93,0,7,0
368,1,5.0,85,0,15,0
369,1,5.0,91,91,9,9
370,4,1.25,93,93,7,7
371,1,5.0,89,0,11,0
372,4,1.25,89,0,11,0
373,1,5.0,85,0,15,0
374,2,2.5,89,0,11,0
375,2,2.5,91,91,9,9
376,3,1.6666666666666667,91,0,9,0
377,1,5.0,88,0,12,0
378,2,2.5,87,87,13,13
379,2,2.5,92,0,8,0
380,4,1.25,92,0,8,0
381,2,2.5,88,0,12,0
382,2,2.5,95,0,5,0
383,3,1.6666666666666667,84,84,16,16
384,3,1.6666666666666667,89,0,11,0
385,5,1.0,94,0,6,0
386,3,1.6666666666666667,92,0,8,0
387,4,1.25,89,0,11,0
388,3,1.6666666666666667,89,89,11,11
389,4,1.25,87,0,13,0
390,2,2.5,92,0,8,0
391,1,5.0,92,92,8,8
392,3,1.6666666666666667,93,0,7,0
393,3,1.6666666666666667,93,93,7,7
394,4,1.25,92,0,8,0
395,3,1.6666666666666667,89,0,11,0
396,2,2.5,95,95,5,5
397,2,2.5,92,0,8,0
398,2,2.5,89,0,11,0
399,1,5.0,93,93,7,7
400,1,5.0,87,87,13,13
401,2,2.5,89,0,11,0
402,3,1.6666666666666667,89,89,11,11
403,2,2.5,91,0,9,0
404,4,1.25,91,0,9,0
405,2,2.5,91,0,9,0
406,2,2.5,92,0,8,0
407,1,5.0,86,86,14,14
408,1,5.0,93,0,7,0
409,2,2.5,91,0,9,0
410,1,5.0,92,92,8,8
411,3,1.6666666666666667,90,0,10,0
412,1,5.0,92,0,8,0
413,2,2.5,91,0,9,0
414,1,5.0,87,0,13,0
415,2,2.5,90,90,10,10
416,1,5.0,87,0,13,0
417,1,5.0,89,89,11,11
418,3,1.6666666666666667,91,0,9,0
419,3,1.6666666666666667,91,0,9,0
420,3,1.6666666666666667,92,0,8,0
421,1,5.0,88,88,12,12
422,3,1.6666666666666667,89,0,11,0
423,1,5.0,92,0,8,0
424,3,1.6666666666666667,87,0,13,0
425,1,5.0,94,0,6,0
426,3,1.6666666666666667,87,0,13,0
427,3,1.6666666666666667,86,86,14,14
428,2,2.5,93,0,7,0
429,2,2.5,88,0,12,0
430,3,1.6666666666666667,94,0,6,0
431,4,1.25,90,0,10,0
432,1,5.0,92,92,8,8
433,4,1.25,89,89,11,11
434,2,2.5,95,0,5,0
435,1,5.0,89,0,11,0
436,3,1.6666666666666667,94,94,6,6
437,4,1.25,88,88,12,12
438,1,5.0,93,0,7,0
439,3,1.6666666666666667,93,0,7,0
440,3,1.6666666666666667,91,0,9,0
441,1,5.0,90,90,10,10
442,3,1.6666666666666667,91,91,9,9
443,3,1.6666666666666667,90,0,10,0
444,1,5.0,93,0,7,0
445,2,2.5,93,0,7,0
446,3,1.6666666666666667,95,0,5,0
447,3,1.6666666666666667,86,0,14,0
448,5,1.0,89,0,11,0
449,1,5.0,91,0,9,0
450,2,2.5,82,0,18,0
451,1,5.0,94,0,6,0
452,3,1.6666666666666667,90,90,10,10
453,3,1.6666666666666667,92,0,8,0
454,1,5.0,93,0,7,0
455,1,5.0,86,0,14,0
456,1,5.0,90,0,10,0
457,1,5.0,89,0,11,0
458,3,1.6666666666666667,93,0,7,0
459,3,1.6666666666666667,92,0,8,0
460,3,1.6666666666666667,91,0,9,0
461,3,1.6666666666666667,96,0,4,0
462,2,2.5,89,0,11,0
463,2,2.5,90,0,10,0
464,2,2.5,85,85,15,15
