iteration,temperature,throughput,cost,accepted
0,20.0,0,inf,False
1,19.9,0,inf,False
2,19.8005,0,inf,False
3,19.7014975,0,inf,False
4,19.602990012499998,0,inf,False
5,19.5049750624375,0,inf,False
6,19.40745018712531,0,inf,False
7,19.31041293618968,0,inf,False
8,19.213860871508732,0,inf,False
9,19.117791567151187,0,inf,False
10,19.022202609315432,0,inf,False
11,18.927091596268856,0,inf,False
12,18.83245613828751,0,inf,False
13,18.738293857596073,0,inf,False
14,18.644602388308094,0,inf,False
15,18.551379376366555,0,inf,False
16,18.45862247948472,0,inf,False
17,18.366329367087296,0,inf,False
18,18.27449772025186,0,inf,False
19,18.1831252316506,0,inf,False
20,18.092209605492346,0,inf,False
21,18.001748557464886,0,inf,False
22,17.91173981467756,0,inf,False
23,17.82218111560417,0,inf,False
24,17.73307021002615,0,inf,False
25,17.644404858976017,0,inf,False
26,17.556182834681138,0,inf,False
27,17.468401920507734,0,inf,False
28,17.381059910905197,0,inf,False
29,17.29415461135067,0,inf,False
30,17.207683838293917,0,inf,False
31,17.121645419102446,0,inf,False
32,17.036037192006933,0,inf,False
33,16.9508570060469,0,inf,False
34,16.866102721016663,0,inf,False
35,16.781772207411578,0,inf,False
36,16.69786334637452,0,inf,False
37,16.614374029642647,0,inf,False
38,16.531302159494434,0,inf,False
39,16.44864564869696,0,inf,False
40,16.366402420453475,0,inf,False
41,16.284570408351208,0,inf,False
42,16.203147556309453,0,inf,False
43,16.122131818527905,0,inf,False
44,16.041521159435266,0,inf,False
45,15.96131355363809,0,inf,False
46,15.8815069858699,0,inf,False
47,15.802099450940549,0,inf,False
48,15.723088953685846,0,inf,False
49,15.644473508917416,0,inf,False
50,15.56625114137283,0,inf,False
51,15.488419885665966,0,inf,False
52,15.410977786237636,0,inf,False
53,15.333922897306447,0,inf,False
54,15.257253282819915,0,inf,False
55,15.180967016405816,0,inf,False
56,15.105062181323786,0,inf,False
57,15.029536870417168,0,inf,False
58,14.954389186065082,0,inf,False
59,14.879617240134756,0,inf,False
60,14.805219153934082,0,inf,False
61,14.731193058164411,0,inf,False
62,14.65753709287359,0,inf,False
63,14.58424940740922,0,inf,False
64,14.511328160372175,0,inf,False
65,14.438771519570315,0,inf,False
66,14.366577661972464,0,inf,False
67,14.294744773662602,0,inf,False
68,14.223271049794288,0,inf,False
69,14.152154694545317,0,inf,False
