iteration,temperature,dsp,bram,lut,ff,violation
0,50.0,932,1390,201746,237027,True
1,49.75,232,1122,540067,638142,True
2,49.50125,1328,1690,106226,125326,True
3,49.25374375,12835,14070,1488276,1765293,True
5,48.762437656093745,427,719,57700,68337,True
6,48.51862546781327,518,1026,132473,156816,True
8,48.034652178771836,390,1186,273180,311476,True
9,47.794478917877974,1364,3390,2798337,3326444,True
11,47.317728990672144,271,691,98195,116933,True
12,47.08114034571879,8064,9881,960297,1144844,True
13,46.84573464399019,494,1248,345888,416378,True
14,46.61150597077024,596,1422,316796,368130,True
15,46.37844844091639,8812,9971,864067,981734,True
16,46.14655619871181,260,894,244598,288018,True
17,45.91582341771825,7944,9986,2111919,2531883,True
18,45.68624430062966,344,782,78614,93555,True
19,45.45781307912651,4192,4706,210314,250857,True
20,45.23052401373088,3020,4982,1473628,1764443,True
21,45.004371393662225,27376,29622,3235413,3822779,True
23,44.555452789010445,741,1247,476504,545795,True
25,44.111012147440064,3007,3453,305859,362927,True
27,43.671004801269355,2616,3873,487215,573821,True
28,43.452649777263005,26128,27987,2700649,3098156,True
29,43.23538652837669,8434,10350,1073956,1272997,True
30,43.0192095957348,524,1114,205854,247074,True
31,42.804113547756124,26056,28094,2867205,3403800,True
32,42.590092980017346,1252,1898,219750,251435,True
33,42.37714251511726,8466,10350,926500,1115077,True
35,41.95443051852896,10336,11398,1008769,1191486,True
36,41.74465836593632,835,2503,407541,470505,True
37,41.53593507410663,33,380,62198,71302,True
38,41.3282553987361,1808,3126,1099653,1316226,True
39,41.12161412174242,7844,9002,615304,736705,True
40,40.91600605113371,107,711,175497,208869,True
41,40.71142602087804,1312,2226,848041,1003699,True
42,40.50786889077364,27728,29874,2918781,3463376,True
43,40.305329546319776,3256,4006,530971,621043,True
44,40.10380289858818,7848,9001,771495,882242,True
45,39.90328388409524,51872,54419,4679977,5355503,True
47,39.505248627351385,1022,1696,329256,387743,True
48,39.30772238421463,342,2166,821052,983644,True
49,39.11118377229356,17167,19066,853685,994989,True
50,38.91562785343209,5284,6747,1473245,1682845,True
51,38.721049714164934,3316,4478,810952,978305,True
52,38.52744446559411,1627,3481,1202453,1465229,True
53,38.334807243266134,49,417,147175,176037,True
54,38.1431332070498,15344,16675,1463381,1671890,True
56,37.76265545330948,1140,2313,268718,308273,True
57,37.57384217604293,784,1626,576499,694502,True
58,37.385972965162715,6016,8483,3053737,3613455,True
59,37.1990431003369,6452,7238,886316,1055746,True
60,37.01304788483522,13076,14242,1547548,1840405,True
61,36.82798264541104,1728,4306,869217,1018730,True
62,36.643842732183984,162,928,282256,337272,True
